product,supplier,brand,category,sub-brand,type
Hair Extention Brush,Balmain,Balmain,Hair Tools,Balmain,retail
Diva wand  25-13mm,Salons Direct,Diva,Hair Tools,Diva,retail
GHD Air Hairdryer,Jamella,GHD,Hair Tools,GHD,retail
GHD Platinium,Jamella,GHD,Hair Tools,GHD,retail
ghd Gold professional styler,Jamella,GHD,Hair Tools,GHD,retail
ghd air professional hairdryer,Jamella,GHD,Hair Tools,GHD,retail
ghd flight ,Jamella,GHD,Hair Tools,GHD,retail
ghd orginal professional styler,Jamella,GHD,Hair Tools,GHD,retail
Xmas Pack Blushing.Bedroom,Sweet Squared,Kevin Murphy,Hair Products,Kevin Murphy,retail
Xmas Pack Fresh.Blonde ,Sweet Squared,Kevin Murphy,Hair Products,Kevin Murphy,retail
Xmas Pack Make mine a mini Stimulate,Sweet Squared,Kevin Murphy,Hair Products,Kevin Murphy,retail
Xmas Pack Shine.Bright,Sweet Squared,Kevin Murphy,Hair Products,Kevin Murphy,retail
Retouch.me,Sweet Squared,Kevin Murphy,Hair Products,Kevin Murphy,retail
Bedroom Hair Mini,Sweet Squared,Kevin Murphy,Hair Products,Kevin Murphy,retail
Bedroom.hair,Sweet Squared,Kevin Murphy,Hair Products,Kevin Murphy,retail
DOO.OVER 100ML (MED),Sweet Squared,Kevin Murphy,Hair Products,Kevin Murphy,retail
FREE.HOLD,Sweet Squared,Kevin Murphy,Hair Products,Kevin Murphy,retail
KEVIN.MURPHY BODYBUILDER 95ML (MED),Sweet Squared,Kevin Murphy,Hair Products,Kevin Murphy,retail
NIGHT.RIDER,Sweet Squared,Kevin Murphy,Hair Products,Kevin Murphy,retail
SESSION.SPRAY,Sweet Squared,Kevin Murphy,Hair Products,Kevin Murphy,retail
Session.Spray Flex ,Sweet Squared,Kevin Murphy,Hair Products,Kevin Murphy,retail
Session.Spray Flex (Medium),Sweet Squared,Kevin Murphy,Hair Products,Kevin Murphy,retail
Touchable Spray,Sweet Squared,Kevin Murphy,Hair Products,Kevin Murphy,retail
UN.DRESSED,Sweet Squared,Kevin Murphy,Hair Products,Kevin Murphy,retail
Young.Again: Dry Conditioner,Sweet Squared,Kevin Murphy,Hair Products,Kevin Murphy,retail
ANGEL.MASQUE,Sweet Squared,Kevin Murphy,Hair Products,Kevin Murphy,retail
ANGEL.RINSE,Sweet Squared,Kevin Murphy,Hair Products,Kevin Murphy,retail
ANGEL.WASH,Sweet Squared,Kevin Murphy,Hair Products,Kevin Murphy,retail
Angel.Wash,Sweet Squared,Kevin Murphy,Hair Products,Kevin Murphy,retail
BLONDE.ANGEL,Sweet Squared,Kevin Murphy,Hair Products,Kevin Murphy,retail
BLONDE.ANGEL.WASH,Sweet Squared,Kevin Murphy,Hair Products,Kevin Murphy,retail
BODY.BUILDER,Sweet Squared,Kevin Murphy,Hair Products,Kevin Murphy,retail
Cool.Angel,Sweet Squared,Kevin Murphy,Hair Products,Kevin Murphy,retail
Crystal.Angel,Sweet Squared,Kevin Murphy,Hair Products,Kevin Murphy,retail
DOO.OVER,Sweet Squared,Kevin Murphy,Hair Products,Kevin Murphy,retail
HYDRATE-ME.RINSE,Sweet Squared,Kevin Murphy,Hair Products,Kevin Murphy,retail
HYDRATE-ME.WASH,Sweet Squared,Kevin Murphy,Hair Products,Kevin Murphy,retail
KILLER.CURLS,Sweet Squared,Kevin Murphy,Hair Products,Kevin Murphy,retail
LEAVE-IN.REPAIR,Sweet Squared,Kevin Murphy,Hair Products,Kevin Murphy,retail
MAXI.WASH,Sweet Squared,Kevin Murphy,Hair Products,Kevin Murphy,retail
PLUMPING.RINSE,Sweet Squared,Kevin Murphy,Hair Products,Kevin Murphy,retail
PLUMPING.WASH,Sweet Squared,Kevin Murphy,Hair Products,Kevin Murphy,retail
Plumping.Rinse,Sweet Squared,Kevin Murphy,Hair Products,Kevin Murphy,retail
Plumping.Wash,Sweet Squared,Kevin Murphy,Hair Products,Kevin Murphy,retail
REPAIR-ME.RINSE,Sweet Squared,Kevin Murphy,Hair Products,Kevin Murphy,retail
REPAIR-ME.WASH,Sweet Squared,Kevin Murphy,Hair Products,Kevin Murphy,retail
SMOOTH.AGAIN.RINSE,Sweet Squared,Kevin Murphy,Hair Products,Kevin Murphy,retail
SMOOTH.AGAIN.WASH,Sweet Squared,Kevin Murphy,Hair Products,Kevin Murphy,retail
STIMULATE-ME.RINSE,Sweet Squared,Kevin Murphy,Hair Products,Kevin Murphy,retail
STIMULATE-ME.WASH,Sweet Squared,Kevin Murphy,Hair Products,Kevin Murphy,retail
YOUNG.AGAIN OIL,Sweet Squared,Kevin Murphy,Hair Products,Kevin Murphy,retail
YOUNG.AGAIN.MASQUE,Sweet Squared,Kevin Murphy,Hair Products,Kevin Murphy,retail
YOUNG.AGAIN.RINSE,Sweet Squared,Kevin Murphy,Hair Products,Kevin Murphy,retail
YOUNG.AGAIN.WASH,Sweet Squared,Kevin Murphy,Hair Products,Kevin Murphy,retail
hydrate-me.rinse 458ml,Sweet Squared,Kevin Murphy,Hair Products,Kevin Murphy,retail
mini Angel.Rinse,Sweet Squared,Kevin Murphy,Hair Products,Kevin Murphy,retail
mini Angel.Wash,Sweet Squared,Kevin Murphy,Hair Products,Kevin Murphy,retail
mini Blone.Angel.Wash,Sweet Squared,Kevin Murphy,Hair Products,Kevin Murphy,retail
mini Hydrate-Me.Rinse,Sweet Squared,Kevin Murphy,Hair Products,Kevin Murphy,retail
mini Hydrate-Me.Wash,Sweet Squared,Kevin Murphy,Hair Products,Kevin Murphy,retail
mini Maxi.Wash,Sweet Squared,Kevin Murphy,Hair Products,Kevin Murphy,retail
mini Repair-Me.Rinse,Sweet Squared,Kevin Murphy,Hair Products,Kevin Murphy,retail
mini Repair-Me.Wash,Sweet Squared,Kevin Murphy,Hair Products,Kevin Murphy,retail
mini Smooth.Again.Rinse,Sweet Squared,Kevin Murphy,Hair Products,Kevin Murphy,retail
mini Smooth.Again.Wash,Sweet Squared,Kevin Murphy,Hair Products,Kevin Murphy,retail
mini Young.Again.Masque,Sweet Squared,Kevin Murphy,Hair Products,Kevin Murphy,retail
mini Young.Again.Rinse,Sweet Squared,Kevin Murphy,Hair Products,Kevin Murphy,retail
ANTI.GRAVITY,Sweet Squared,Kevin Murphy,Hair Products,Kevin Murphy,retail
ANTI.GRAVITY.SPRAY,Sweet Squared,Kevin Murphy,Hair Products,Kevin Murphy,retail
BODY.MASS,Sweet Squared,Kevin Murphy,Hair Products,Kevin Murphy,retail
EVER.SMOOTH,Sweet Squared,Kevin Murphy,Hair Products,Kevin Murphy,retail
FULL.AGAIN,Sweet Squared,Kevin Murphy,Hair Products,Kevin Murphy,retail
HAIR.RESORT.SPRAY,Sweet Squared,Kevin Murphy,Hair Products,Kevin Murphy,retail
Heated.Defense,Sweet Squared,Kevin Murphy,Hair Products,Kevin Murphy,retail
Killer.Waves,Sweet Squared,Kevin Murphy,Hair Products,Kevin Murphy,retail
Mini Young.Again oil,Sweet Squared,Kevin Murphy,Hair Products,Kevin Murphy,retail
SHIMMER.ME BLONDE,Sweet Squared,Kevin Murphy,Hair Products,Kevin Murphy,retail
SHIMMER.SHINE,Sweet Squared,Kevin Murphy,Hair Products,Kevin Murphy,retail
THICK.AGAIN,Sweet Squared,Kevin Murphy,Hair Products,Kevin Murphy,retail
UN.TANGLED,Sweet Squared,Kevin Murphy,Hair Products,Kevin Murphy,retail
mini Anti.Gravity,Sweet Squared,Kevin Murphy,Hair Products,Kevin Murphy,retail
Olaplex No4 Bond Maintainer Shampoo,Aston & Fincher,Olaplex,Hair Products,Olaplex,retail
Olaplex No5 Bond Maintainer Conditioner,Aston & Fincher,Olaplex,Hair Products,Olaplex,retail
