Product Usage Report,,
Base Hair Academy,,
01/11/19 - 30/11/19 (Days: 30),,
Staff All,,
COLOUR,,
Schwarzkopf,,
Colour Bleach,#,Cost
Igora Vario Blond Super Plus ,2,31.60
BM Premi Lift 9+,2,28.36
Total,4,59.96
Colour Developers,#,Cost
Vibrance 1.9% lotion,4,22.20
IGORA Royal Oxigenta 3% 1 Litre,1,5.73
IGORA Royal Oxigenta 6% 1 Litre,2,11.46
IGORA Royal Oxigenta 9% 1 Litre,1,5.73
BM Developer 6%,2,12.12
Vibrance Lotion 4%,1,5.55
BM Developer 2%,1,6.06
Total,12,68.85
Colour Tubes,#,Cost
Vibrance 5-0,1,4.92
Vibrance 7-65,1,4.92
BM Bleach & tone pastel additive,1,6.42
Vibrance 9-4,1,4.92
Vibrance 6-99,1,4.92
BM toning lilac,2,12.84
IGORA Royal 6-77,1,5.55
IGORA Royal 5-0,2,11.10
IGORA Royal 6-88,1,5.55
Vibrance 6-12,1,4.92
"Vibrance 9,5-4",1,4.92
"IGORA Royal 9,5-49",1,5.55
IGORA Royal 6-00,1,5.55
IGORA Royal 6-0,2,11.10
Vibrance 7-77,1,4.92
Vibrance 8-46,1,4.92
Page 1 ,,
IGORA Royal 5-65,1,5.55
IGORA Royal Nude 7-46,1,5.55
IGORA Royal 9-4,1,5.55
IGORA Royal 6-68,3,16.65
IGORA Color10 7-12,2,11.10
BM toning caramel,1,6.42
IGORA Royal 10-14,1,5.55
IGORA Royal 9-1,3,16.65
BM toning ice,2,12.84
"Vibrance 9,5-21",1,4.92
IGORA Royal Nude 6-46,2,11.10
IGORA Color10 7-0 ,1,5.55
Vibrance 9-7,1,4.92
IGORA Royal 7-00,1,5.55
"Vibrance 9,5-1",2,9.84
Vibrance 9-57,1,4.92
"IGORA Royal 9,5-4",2,11.10
IGORA Royal 1-0,1,5.55
Vibrance 8-19,1,4.92
IGORA Royal 9-00,1,5.55
"IGORA Royal 9,5-22",3,16.65
Vibrance 5-67,1,4.92
Vibrance 5-65,1,4.92
IGORA Royal 5-88,1,5.55
Vibrance 7-1,3,14.76
Vibrance 6-6,1,4.92
Vibrance 5-1,1,4.95
IGORA Royal SW Silver,2,11.52
"Vibrance 9,5-19",1,4.92
IGORA Royal FL L-77,1,5.76
IGORA Royal 6-12,1,5.55
vibrance 7-57,1,4.92
Vibrance 8-0,1,4.92
IGORA Royal Nude 8-46,2,11.10
IGORA Color10 8-00 ,1,5.55
"Vibrance 9,5-46",2,9.84
"IGORA Royal 9,5-1",6,33.30
BM toning strawberry,2,12.84
Vibrance 0-00,1,4.92
Page 2 ,,
IGORA Color10 6-6,1,5.55
BM toning sand,2,12.84
IGORA Royal 6-99,2,11.10
IGORA Royal FL L-88,3,17.28
IGORA Royal 7-77,1,5.55
IGORA Color10 5-12 ,1,5.55
IGORA Royal 7-1,1,5.55
Vibrance 6-0,1,4.92
Vibrance 7-0,1,4.92
IGORA Royal 10-1,1,5.55
Total,94,513.42
Total,110,642.23
Page 3 ,,
PROFESSIONAL,,
--,,
Profeesional use only,#,Cost
gloves small,1,0.00
Total,1,0.00
Total,1,0.00
Schwarzkopf,,
Colour Tubes,#,Cost
IGORA Royal Vibrance 7-0,1,4.92
IGORA Colour10  6-0,1,5.55
IGORA Colour10 5-1,1,5.55
Total,3,16.02
Hair Products (Prep),#,Cost
pH 4.5 Color Freeze Sulphate Free Shampoo,1,17.45
Hyaluronic Moisture Kick Treatment,1,18.30
pH 4.5 Color Freeze Conditioner,1,18.30
Total,3,54.05
Professional use only,#,Cost
BW pH 4.5 Color Freeze Silver Shampoo,1,17.45
bc fibre clinix peptide repair booster,1,16.26
Hyaluronic Moisture Kick shampoo,1,10.47
bc fibre clinix ph 4.5 color booster,1,16.26
Peptide Repair Rescue Conditioner,1,18.30
Total,5,78.74
Total,11,148.81
Page 4 ,,
RETAIL,,
Schwarzkopf,,
Hair Products (Prep),#,Cost
peptide repair rescue spray conditioner,1,6.36
Total,1,6.36
Total,1,6.36
Schwarzkopf Igora,,
Colour Tubes,#,Cost
IGORA ROYAL 6-16,1,0.00
Total,1,0.00
Total,1,0.00
Page 5 ,,
