Product Performance,,,,,,,,,,,,,,,
Base Hair Academy,,,,,,,,,,,,,,,
01/03/20 - 31/03/20 (Days: 31),,,,,,,,,,,,,,,
Category All,,,,,,,,,,,,,,,
Brand All,,,,,,,,,,,,,,,
Name All,,,,,,,,,,,,,,,
Include zero sales No,,,,,,,,,,,,,,,
Brand Miscellaneous - Category Internal Marketing,,,,,,,,,,,,,,,
Product Name,"Unit
Cost","Unit
Price",Arriv,"Sold
Qt",Stock,"Last
Wk Qt","Last 2
Wks Qt","Trans
In","Trans
Out",Order,"Gross
Profit",GP%,"Sell
thru","Days
Stock",Barcode
Refferal In,0.00,0.00,0,2,-4,0,0,0,0,0,0.00,NA,0%,NA,16019768
Refferal Out,0.00,0.00,0,4,-70,1,1,0,0,0,0.00,NA,0%,NA,16021976
Brand Schwarzkopf - Category Hair Products (Finish),,,,,,,,,,,,,,,
Product Name,"Unit
Cost","Unit
Price",Arriv,"Sold
Qt",Stock,"Last
Wk Qt","Last 2
Wks Qt","Trans
In","Trans
Out",Order,"Gross
Profit",GP%,"Sell
thru","Days
Stock",Barcode
Osis Flexwax 85ml,5.48,10.95,0,2,-8,0,0,0,0,0,8.20,43%,0%,NA,4045787314700
silhouette flexible hold hairspray,4.74,9.00,0,1,-1,0,0,0,0,0,1.56,25%,0%,NA,4045787300031
Brand Schwarzkopf - Category Hair Products (Prep),,,,,,,,,,,,,,,
Product Name,"Unit
Cost","Unit
Price",Arriv,"Sold
Qt",Stock,"Last
Wk Qt","Last 2
Wks Qt","Trans
In","Trans
Out",Order,"Gross
Profit",GP%,"Sell
thru","Days
Stock",Barcode
BC Color Freeze Conditioner 200ml,5.97,12.43,0,2,-4,0,0,0,0,0,0.06,1%,0%,NA,4045787301533
BC Color Freeze Rich Shampoo 250ml,5.37,11.18,0,4,-7,0,0,0,0,0,2.52,11%,0%,NA,4045787301595
BM Keratin Restore Bonding Shampoo All Blondes 250ml,7.32,14.60,0,1,-3,0,0,0,0,0,-1.32,-22%,0%,NA,4045787369779
Bold Wash Purple,7.74,15.00,0,2,-5,0,0,0,0,0,14.52,48%,0%,423,4045787430417
Page 1,,,,,,,,,,,,,,,
blondme blush wash strawberry,14.40,17.25,0,1,-2,0,0,0,0,0,2.85,17%,0%,NA,4045787423747
hyaluronic moisture kick micellar conditioner,6.36,12.30,0,1,-5,0,0,0,0,0,5.94,48%,0%,NA,4045787429459
hyaluronic moisture kick micellar spray conditioner,6.36,12.65,0,1,-12,0,0,0,0,0,6.29,50%,0%,NA,4045787429497
hyaluronic moisture kick micellar treatment,7.17,13.90,0,1,-4,0,0,0,0,0,2.56,26%,0%,NA,4045787429534
pH 4.5 Colour Freeze Conditioner,6.36,12.65,0,4,-14,0,0,0,0,0,11.86,32%,0%,NA,4045787429237
pH 4.5 Colour Freeze Rich Micellar Shampoo,5.73,11.10,0,1,-10,1,1,0,0,0,5.37,48%,0%,423,4045787428797
pH 4.5 Colour Freeze Silver Micellar Shampoo,5.73,11.45,0,5,-28,1,1,0,0,0,25.74,47%,0%,423,4045787430134
pH 4.5 Colour Freeze Spray Conditioner,6.36,12.65,0,1,-13,0,1,0,0,0,6.29,50%,0%,NA,4045787429275
pH 4.5 Colour Freeze Sulfate Free Micellar Shampoo,5.73,11.45,0,3,-18,0,0,0,0,0,17.16,50%,0%,NA,4045787428759
Brand Schwarzkopf - Category Hair Products (Wet to Dry),,,,,,,,,,,,,,,
Product Name,"Unit
Cost","Unit
Price",Arriv,"Sold
Qt",Stock,"Last
Wk Qt","Last 2
Wks Qt","Trans
In","Trans
Out",Order,"Gross
Profit",GP%,"Sell
thru","Days
Stock",Barcode
BC Oil Miracle Mist Fine Hair 100ml,10.26,20.75,0,1,-1,0,0,0,0,0,-4.26,-71%,0%,NA,4045787291476
hyaluronic moisture kick micellar Shampoo,5.73,9.25,0,1,-4,0,0,0,0,0,3.52,38%,0%,NA,4045787429138
Page 2,,,,,,,,,,,,,,,
