Product Usage Report,,
Jakata Salon,,
01/01/20 - 31/01/20 (Days: 31),,
Staff All,,
COLOUR,,
Schwarzkopf,,
Colour Bleach,#,Cost
BM Premi Lift 9+,6,85.08
Igora Vario Blond Super Plus ,8,126.40
Total,14,211.48
Colour Developers,#,Cost
IGORA Royal Oxigenta 3% 1 Litre,6,34.38
Vibrance 1.9% lotion,3,16.65
BM Developer 6%,4,24.24
IGORA Royal Oxigenta 9% 1 Litre,1,5.73
BM Developer 2%,7,42.42
IGORA Royal Oxigenta 6% 1 Litre,8,45.84
Vibrance Lotion 4%,3,16.65
Total,32,185.91
Colour Tubes,#,Cost
IGORA Color10 4-88,1,5.55
IGORA Royal FL L-77,1,5.76
"Vibrance 9,5-19",4,19.68
IGORA Royal 9-98,2,11.10
IGORA Royal 9-4,4,22.20
IGORA Royal 8-4,5,27.75
Vibrance 6-0,1,4.92
IGORA Royal 7-65,1,5.55
Vibrance 7-4,2,9.84
IGORA Royal 0-89,1,5.55
"Vibrance 9,5-1",5,24.60
Vibrance 0-11,1,4.92
BM toning apricot,2,12.84
IGORA Royal 8-1,3,16.65
IGORA Royal 7-57,1,5.55
"Vibrance 9,5-49",5,24.60
Page 1 ,,
BM toning strawberry,5,32.10
IGORA Royal 4-13,1,5.55
Vibrance 8-0,1,4.92
Vibrance 9-1,2,9.84
IGORA Royal 5-1,1,5.55
IGORA Color10 9-12 ,1,5.55
Igora dusted rouge 6-491,1,5.76
IGORA Royal 5-00,2,11.10
IGORA Royal 5-0,2,11.10
"IGORA Royal P 9,5-89",2,11.52
"Vibrance 9,5-5",3,14.76
IGORA Royal P 6-89,1,5.76
IGORA Royal 9-1,5,27.75
IGORA Color10 6-00 ,1,5.55
Igora dusted rouge 5-869,1,5.76
"Vibrance 9,5-21",6,29.52
IGORA Royal D-0,2,11.10
Vibrance 5-4,1,4.92
"IGORA Royal 9,5-1",5,27.75
IGORA Royal 7-0,3,16.65
TBH 7-49 C,1,6.42
Vibrance 5-1,1,4.95
IGORA Royal Opulescence 9-57,1,5.76
"IGORA Royal P 9,5-29",4,23.04
IGORA Royal 6-00,2,11.10
IGORA Royal 8-11,3,16.65
IGORA Royal 9-55,1,5.55
Vibrance 7-0,2,9.84
Vibrance 8-46,1,4.92
BM toning lilac,3,19.26
IGORA Royal 6-77,4,22.20
IGORA Royal 5-6,2,11.10
IGORA Royal 4-0,2,11.10
IGORA Royal P 11-89,2,11.52
IGORA ROYAL OPULESCENCE 8-19,3,17.28
IGORA ROYAL OPULESCENCE 7-48,1,5.76
IGORA Color10 5-12 ,1,5.55
Vibrance 6-46,1,4.92
IGORA Color10 6-4 ,3,16.65
Page 2 ,,
IGORA Royal 9-00,1,5.55
BM toning ice,15,96.30
IGORA Royal 6-99,3,16.65
"Vibrance 9,5-98",1,4.92
Vibrance 8-11,2,9.84
IGORA Royal 6-6,2,11.10
IGORA Royal FL L-89,1,5.76
IGORA Royal 8-0,3,16.65
Igora dusted rouge 7-982,1,5.76
IGORA Color 10 3-0 ,1,5.55
disheveled nudes 8-211,2,11.52
"Vibrance 9,5-46",2,9.84
BM toning sand,3,19.26
Igora Royal 3-222,2,11.52
IGORA Royal E-0,1,5.55
vibrance 7-57,1,4.92
"IGORA Royal 9,5-4",3,16.65
Vibrance 5-0,1,4.92
IGORA Royal 1-0,2,11.10
IGORA Royal 3-0,1,5.55
BM Bleach & tone Cool Addative,1,6.42
Vibrance 8-19,3,14.76
IGORA Color10 7-12,1,5.55
IGORA Royal SW Silver,3,17.28
IGORA Royal 6-4,2,11.10
IGORA Royal 6-12,4,22.20
IGORA Royal 9-7,1,5.55
Vibrance 7-65,1,4.92
IGORA Royal 6-0,6,33.30
IGORA Royal SW Slate Grey,2,11.52
IGORA Royal 8-77,4,22.20
IGORA Royal 5-4,1,5.55
IGORA Royal 4-99,1,5.55
IGORA Color10 6-88 ,1,5.55
TBH 10-19 C,1,0.00
IGORA Color10 5-0 ,1,5.55
Igora Royal 4-998,2,11.52
IGORA Royal SW Dove Grey,5,28.80
Vibrance 7-00,1,4.92
Page 3 ,,
"Vibrance 9,5-4",3,14.76
Igora Royal 6-299,2,11.52
Vibrance 9-65,1,4.92
IGORA Color10 4-99,1,5.55
Vibrance 6-12,2,9.84
IGORA Royal SW Grey Lilac,6,34.56
IGORA Royal 12-1,1,5.55
IGORA Royal 9-0,2,11.10
IGORA Royal 7-1,2,11.10
IGORA Royal 6-1,2,11.10
BM toning steel blue,1,6.42
IGORA Royal 7-4,5,27.75
IGORA ROYAL OPULESCENCE 6-78,2,11.52
IGORA Royal 5-88,1,5.55
IGORA Royal FL L-88,1,5.76
Igora dusted rouge 8-849,1,5.59
Total,245,"1,356.88"
Total,291,"1,754.27"
Page 4 ,,
PROFESSIONAL,,
--,,
Profeesional use only,#,Cost
gloves small,1,0.00
Total,1,0.00
Total,1,0.00
Joico,,
Colour Tubes,#,Cost
Joico Red,1,5.67
Joico Sapphire Blue,1,5.67
Joico Yellow,1,5.67
Total,3,17.01
Total,3,17.01
Kevin.Murphy,,
Hair Products (Prep),#,Cost
Crystal.Angel,1,24.43
Autumn.Angel,1,24.43
Cool.Angel,1,24.43
Sugared.Angel,1,24.43
Total,4,97.72
Professional use only,#,Cost
SMOOTH.AGAIN.WASH 1Ltr,3,73.29
YOUNG.AGAIN.WASH 1Ltr,1,33.01
HYDRATE.ME.MASQUE 1Ltr,1,35.75
HYDRATE.ME.WASH 1Ltr,1,24.43
BLONDE.ANGEL 1Ltr,2,48.86
PLUMPING.WASH 1Ltr,2,66.02
BLONDE.ANGEL.WASH 1Ltr,1,24.43
YOUNG.AGAIN.MASQUE 1Ltr,1,33.01
REPAIR.ME.RINSE 1Ltr,1,33.01
REPAIR.ME.WASH 1Ltr,1,33.01
HYDRATE.ME.RINSE 1Ltr,1,24.43
Total,15,429.25
Total,19,526.97
Schwarzkopf,,
Page 5 ,,
Colour Developers,#,Cost
TBH Tone Softener ,1,0.00
Total,1,0.00
Colour Tubes,#,Cost
IGORA Colour10 7-00,1,5.55
IGORA Colour10 8-11,1,5.55
IGORA Colour10  6-0,2,11.10
Total,4,22.20
Professional use only,#,Cost
Hyaluronic Moisture Kick shampoo,1,10.47
bc fibre clinix peptide repair booster,1,16.26
BW pH 4.5 Color Freeze Silver Shampoo,3,52.35
Total,5,79.08
Total,10,101.28
Page 6 ,,
RETAIL,,
Joico,,
Professional use only,#,Cost
JOICO ORCHID,1,0.00
Total,1,0.00
Total,1,0.00
Kevin.Murphy,,
Hair Products (Wet to Dry),#,Cost
SHIMMER.ME BLONDE,1,13.54
Total,1,13.54
Total,1,13.54
Schwarzkopf,,
Colour Tubes,#,Cost
IGORA Royal FL L-44,1,5.76
Total,1,5.76
