Product Usage Report,,
Paul Kemp Hairdressing,,
01/05/19 - 31/05/19 (Days: 31),,
Staff All,,
COLOUR,,
Schwarzkopf,,
Colour Bleach,#,Cost
Igora Vario Blond Super Plus ,3,47.40
BM Premi Lift 9+,19,269.42
Total,22,316.82
Colour Developers,#,Cost
BM Developer 6%,16,96.96
IGORA Royal Oxigenta 6% 1 Litre,6,34.38
IGORA Royal Oxigenta 3% 1 Litre,4,22.92
Vibrance Lotion 4%,1,5.55
BM Developer 9%,2,12.12
BM Developer 2%,4,24.24
Vibrance 1.9% lotion,14,77.70
IGORA Royal Oxigenta 9% 1 Litre,1,5.73
Total,48,279.60
Colour Tubes,#,Cost
IGORA Royal 5-0,4,22.20
IGORA Royal 7-1,8,44.40
IGORA Royal 5-65,2,11.10
Vibrance 9-65,3,14.76
Vibrance 8-19,5,24.60
Vibrance 6-12,4,19.68
IGORA Royal 10-1,1,5.55
IGORA Royal 7-00,8,44.40
IGORA Royal ABS 5-60,3,17.28
disheveled nudes 8-211,1,5.76
IGORA Royal 8-11,8,44.40
Vibrance 7-65,4,19.68
IGORA Royal FL L-89,1,5.76
IGORA Royal 10-0,1,5.55
"IGORA Royal 9,5-4",3,16.65
Page 1 ,,
IGORA Royal 8-0,2,11.10
IGORA Royal 6-00,6,33.30
Vibrance 7-4,7,34.44
IGORA Royal 6-6,1,5.55
IGORA Royal 8-4,3,16.65
IGORA Royal 6-68,1,5.55
IGORA Royal 6-1,1,5.55
IGORA Royal Nude 7-46,5,27.75
IGORA Royal FL L-77,3,17.28
BM toning sand,3,19.26
Vibrance 9-55,2,9.84
IGORA Royal 9-4,1,5.55
"Vibrance 9,5-49",3,14.76
Vibrance 5-1,2,9.90
BM Bleach & tone Cool Addative,1,6.42
"Vibrance 9,5-1",15,73.80
Vibrance 7-00,1,4.92
IGORA Royal 5-00,6,33.30
Vibrance 5-00,2,9.84
IGORA Royal 8-77,2,11.10
IGORA Royal FL L-88,1,5.76
"Vibrance 9,5-5",1,4.92
IGORA Royal 5-1,2,11.10
IGORA Royal 9-7,1,5.55
"Vibrance 9,5-46",11,54.12
"IGORA Royal 9,5-1",9,49.95
igora pastelfier,1,5.55
IGORA Royal Nude 4-46,4,22.20
IGORA Royal 6-12,2,11.10
IGORA Royal 8-1,3,16.65
BM toning steel blue,1,6.42
IGORA Royal 7-0,4,22.20
IGORA Royal 6-99,2,11.10
vibrance 7-57,3,14.76
Vibrance 0-00,2,9.84
Vibrance 6-46,5,24.60
IGORA Royal 8-00,9,49.95
IGORA ROYAL OPULESCENCE 8-19,1,5.76
IGORA Royal 7-65,4,22.20
Page 2 ,,
IGORA Royal 6-0,3,16.65
Vibrance 9-1,11,54.12
IGORA Royal 9-00,6,33.30
BM toning lilac,1,6.42
IGORA Royal 9-0,1,5.55
IGORA Royal 7-4,2,11.10
Vibrance 9-57,1,4.92
IGORA Royal Nude 8-46,5,27.75
Vibrance 6-6,4,19.68
BM lifting ice,2,12.84
IGORA Royal 12-1,1,5.55
IGORA Royal 4-0,2,11.10
IGORA Royal Nude 6-46,3,16.65
IGORA Royal 0-77,2,11.10
IGORA Color10 9-00,2,11.10
Vibrance 8-46,7,34.44
Vibrance 6-0,2,9.84
Vibrance 0-11,1,4.92
BM toning ice,7,44.94
Vibrance 6-99,2,9.84
Vibrance 8-11,4,19.68
Vibrance 5-65,2,9.84
Vibrance 7-77,1,4.92
Vibrance 7-0,3,14.76
Vibrance 7-55,2,9.84
"Vibrance 9,5-21",5,24.60
IGORA Royal 6-77,1,5.55
IGORA Royal 6-88,3,16.65
IGORA Royal 5-6,3,16.65
Vibrance 9-0,1,4.92
IGORA Royal 10-4,1,5.55
IGORA Royal 9-1,4,22.20
IGORA Royal 7-77,3,16.65
IGORA Royal 6-65,1,5.55
IGORA Royal 8-65,2,11.10
Vibrance 9-4,2,9.84
IGORA Royal 4-88,1,5.55
IGORA Royal 3-0,1,5.55
"Vibrance 9,5-19",9,44.28
Page 3 ,,
BM toning strawberry,2,12.84
Vibrance 8-0,4,19.68
Vibrance 5-0,1,4.92
"Vibrance 9,5-4",11,54.12
IGORA Royal SW Silver,2,11.52
Vario Blonde Cool lift,1,5.61
BM Bleach & tone pastel additive,3,19.26
Vibrance 7-1,10,49.20
IGORA Royal 0-11,3,16.65
Vibrance 9-7,4,19.68
"IGORA Royal 9,5-49",5,27.75
Total,349,"1,858.08"
Total,419,"2,454.50"
Page 4 ,,
PROFESSIONAL,,
--,,
Profeesional use only,#,Cost
gloves small,5,0.00
gloves large,1,0.00
Total,6,0.00
Total,6,0.00
Kevin.Murphy,,
Hair Products (Prep),#,Cost
Sugared.Angel,1,24.43
Total,1,24.43
Professional use only,#,Cost
ANGEL.WASH 1Ltr,1,22.94
HYDRATE.ME.WASH 1Ltr,1,24.43
PLUMPING.RINSE 1Ltr,1,33.01
PLUMPING.WASH 1Ltr,2,66.02
YOUNG.AGAIN.WASH 1Ltr,1,33.01
BLONDE.ANGEL.WASH 1Ltr,1,24.43
YOUNG.AGAIN.RINSE 1Ltr,1,33.01
HYDRATE.ME.RINSE 1Ltr,1,24.43
REPAIR.ME.RINSE 1Ltr,2,66.02
Total,11,327.30
Total,12,351.73
Schwarzkopf,,
Colour Misc,#,Cost
Color Remover,1,3.55
Total,1,3.55
Hair Products (Prep),#,Cost
Q10 Time Restore Shampoo,1,17.45
BC Scalp Genesis Soothing Shampoo,1,10.17
Hyaluronic Moisture Kick Treatment,1,18.30
Hyaluronic Moisture Kick Conditioner,1,18.30
pH 4.5 Color Freeze Conditioner,1,18.30
Total,5,82.52
Profeesional use only,#,Cost
Page 5 ,,
Silver foil (box of 3) 90m Plain ,2,21.60
Total,2,21.60
Professional use only,#,Cost
Peptide Repair Rescue Conditioner,1,18.30
BM Tone Enhancing Bonding Shampoo Cool Blondes 1000ml,1,12.24
Hyaluronic Moisture Kick shampoo,1,10.47
BC Smooth Perfect Shampoo 1000ml,1,10.17
