Product Usage Report,,
Base Hair Academy,,
01/01/22 - 30/03/22 (Days: 89),,
Staff All,,
COLOUR,,
Schwarzkopf,,
Colour Bleach,#,Cost
BM Premi Lift 9+,32,453.76
Igora Vario Blond Super Plus ,5,79.00
Total,37,532.76
Colour Developers,#,Cost
IGORA Royal Oxigenta 3% 1 Litre,6,34.38
IGORA Royal Oxigenta 6% 1 Litre,10,57.30
BM Developer 9%,1,6.06
BM Developer 6%,14,84.84
BM Developer 2%,16,96.96
Vibrance Lotion 4%,1,5.55
Vibrance 1.9% lotion,20,111.00
IGORA Royal Oxigenta 9% 1 Litre,1,5.73
Total,69,401.82
Colour Tubes,#,Cost
IGORA Royal 0-77,1,5.55
"IGORA Royal 9,5-1",2,11.10
"IGORA Vibrance 9,5-21",5,24.60
IGORA ROYAL 6-29,1,5.76
IGORA ROYAL 7-21,2,11.10
IGORA ROYAL 9-67,2,11.52
IGORA ROYAL 6-46,3,16.65
vibrance 7-57,1,4.92
IGORA Royal 8-4,4,22.20
IGORA Vibrance 7-21,1,4.92
Vibrance 7-77,8,39.36
IGORA Vibrance 1-0,5,24.60
IGORA Vibrance 4-68,1,4.92
IGORA Vibrance 4-6,5,24.60
IGORA Vibrance 7-48,1,4.92
Page 1,,
Vibrance 6-68,1,4.92
IGORA Royal 6-4,2,11.10
IGORA Color10 5-0,1,5.55
IGORA Royal 0-88,1,5.55
"Vibrance 9,5-98",2,9.84
Vibrance 7-4,1,4.92
IGORA Royal 8-1,1,5.55
IGORA Vibrance 7-24,3,0.00
"Vibrance 9,5-1",33,162.36
IGORA Vibrance 6-12,2,9.84
IGORA Royal 9-00,2,11.10
IGORA Royal 4-0,7,38.85
IGORA Vibrance 5-21,1,4.92
IGORA Royal 6-0,9,49.95
IGORA Vibrance 3-0,1,4.92
IGORA Royal 5-6,9,49.95
IGORA Royal 7-00,6,33.30
IGORA Vibrance 5-1,1,4.95
IGORA Royal 1-0,1,5.55
IGORA Royal 5-0,8,44.40
Vibrance 6-0,5,24.60
Vibrance 9-57,3,14.76
IGORA Color10 7-12,1,5.55
IGORA Royal 6-77,6,33.30
IGORA Royal 5-7,1,5.55
"Vibrance 9,5-4",6,29.52
IGORA Royal 8-77,3,16.65
IGORA Royal 9-4,3,16.65
IGORA Royal 1-1,5,27.75
Vibrance 5-65,2,9.84
Vibrance 9-55,2,9.84
Vibrance 9-1,30,147.60
IGORA Royal 9-1,1,5.55
IGORA Vibrance 5-5,1,4.92
IGORA Vibrance 8-46,7,34.44
Vibrance 5-88,3,14.76
Vibrance 6-46,2,9.84
IGORA Color10 4-88,1,5.55
"Vibrance 9,5-5",8,39.36
Page 2,,
IGORA Royal 6-1,2,11.10
IGORA ROYAL 6-12,1,5.55
IGORA Royal P 6-89,1,5.76
IGORA Vibrance 0-11,2,9.84
IGORA Royal 5-1,6,33.30
IGORA Royal 7-77,7,38.85
IGORA Color10 7-0,1,5.55
IGORA ROYAL 7-42,2,0.00
IGORA Royal FL L-77,3,17.28
IGORA Royal 10-4,1,5.55
Vibrance 9-65,5,24.60
IGORA Vibrance 9-42,13,0.00
Vibrance 6-78,3,14.76
IGORA Royal 7-1,5,27.75
"Vibrance 9,5-19",10,49.20
IGORA Royal 7-55,1,5.55
IGORA Royal 9-7,5,27.75
IGORA Vibrance 5-4,1,4.92
Vibrance 9-0,5,24.60
BM Bleach & tone Cool Addative,3,19.26
Vibrance 8-0,4,19.68
IGORA Royal 6-6,10,55.50
BM toning ice,16,102.72
IGORA Royal SW Slate Grey,2,11.52
IGORA Vibrance 5-0,2,9.84
IGORA Vibrance 4-0,3,14.76
Vibrance 7-0,11,54.12
IGORA Royal 4-6,2,11.10
IGORA Royal 3-0,2,11.10
IGORA Royal 5-00,3,16.65
IGORA Royal 5-4,1,5.55
IGORA Royal 8-0,3,16.65
Igora Royal 4-998,2,11.52
IGORA Royal 9-0,1,5.55
IGORA Royal 6-00,13,72.15
IGORA Royal 8-00,1,5.55
IGORA Vibrance 9-24,8,0.00
IGORA ROYAL 7-57,1,5.55
"Vibrance 9,5-49",4,19.68
Page 3,,
IGORA Royal 6-68,3,16.65
"Vibrance 9,5-46",1,4.92
IGORA Royal 5-65,3,16.65
BM toning sand,4,25.68
IGORA Royal 6-99,2,11.10
IGORA Vibrance 4-46,1,4.92
Vibrance 8-11,13,63.96
IGORA Color10 8-65,1,5.55
Vibrance 7-1,10,49.20
BM  Toning Steel Blue,2,12.84
IGORA Royal 4-5,2,11.10
IGORA Royal 5-88,3,16.65
IGORA Royal 7-65,5,27.75
IGORA Royal SW Dove Grey,1,5.76
Vibrance 7-65,6,29.52
BM toning lilac,5,32.10
BM Granite Toner,2,10.20
IGORA Vibrance 8-19,6,29.52
Vibrance 7-88,1,4.92
IGORA Royal 9-55,2,11.10
Vibrance 9-7,4,19.68
Vibrance 9-4,12,59.04
BM toning strawberry,4,25.68
