Product Usage Report,,
Base Hair Academy,,
01/03/20 - 31/03/20 (Days: 31),,
Staff All,,
COLOUR,,
Schwarzkopf,,
Colour Bleach,#,Cost
BM Premi Lift 9+,6,85.08
Igora Vario Blond Super Plus ,3,47.40
Total,9,132.48
Colour Developers,#,Cost
BM Developer 6%,3,18.18
Vibrance 1.9% lotion,3,16.65
IGORA Royal Oxigenta 6% 1 Litre,5,28.65
BM Developer 2%,1,6.06
IGORA Royal Oxigenta 3% 1 Litre,2,11.46
Total,14,81.00
Colour Tubes,#,Cost
IGORA Royal 8-4,1,5.55
IGORA Royal 6-88,2,11.10
IGORA Royal E-0,1,5.55
IGORA Royal 6-1,1,5.55
Vibrance 9-55,2,9.84
IGORA Color 10 4-65 ,1,5.55
IGORA ROYAL OPULESCENCE 6-78,1,5.76
IGORA Color10 7-0 ,2,11.10
Vibrance 7-4,1,4.92
IGORA Royal 6-99,1,5.55
IGORA Royal 6-65,2,11.10
Igora Royal 4-332,1,5.76
Vibrance 9-4,2,9.84
IGORA Royal 3-0,1,5.55
Igora dusted rouge 7-982,1,5.76
IGORA Royal SW Dove Grey,5,28.80
Vibrance 7-0,2,9.84
IGORA Royal 6-00,1,5.55
Page 1 ,,
IGORA Royal 5-00,1,5.55
IGORA Color10 5-0 ,2,11.10
BM toning steel blue,1,6.42
BM toning sand,1,6.42
Vibrance 8-11,3,14.76
"Vibrance 9,5-19",2,9.84
IGORA Royal SW Silver,1,5.76
IGORA Royal 8-77,3,16.65
"Vibrance 9,5-5",1,4.92
IGORA Royal 9-00,1,5.55
IGORA Color10 5-68 ,1,5.55
IGORA Royal SW Grey Lilac,4,23.04
IGORA Royal 7-57,1,5.55
"Vibrance 9,5-1",4,19.68
IGORA Royal 12-1,1,5.55
IGORA Color10 7-12,1,5.55
IGORA Royal 7-65,1,5.55
IGORA Royal 5-65,1,5.55
Vibrance 9-0,1,4.92
IGORA Royal Nude 6-46,2,11.10
IGORA Royal 6-0,4,22.20
IGORA Royal 9-7,2,11.10
IGORA Royal 6-4,1,5.55
IGORA Royal 6-5,2,11.10
Vibrance 9-1,5,24.60
Igora Royal 3-222,1,5.76
Vibrance 5-0,1,4.92
IGORA Royal 8-0,1,5.55
BM toning strawberry,3,19.26
IGORA Royal 7-4,2,11.10
IGORA Royal 6-77,2,11.10
IGORA Royal 9-0,1,5.55
IGORA Royal 4-0,2,11.10
Vibrance 8-19,3,14.76
Vibrance 7-65,1,4.92
IGORA Royal 4-6,1,5.55
Vibrance 9-7,1,4.92
IGORA Royal 8-11,1,5.55
BM toning ice,5,32.10
Page 2 ,,
IGORA Royal P 6-89,3,17.28
BM toning lilac,4,25.68
IGORA Color10 5-12 ,2,11.10
IGORA Color10 6-00 ,1,5.55
IGORA Royal 10-1,1,5.55
IGORA Royal 8-00,1,5.55
IGORA Royal 9-98,1,5.55
IGORA Color 10 4-00,1,5.55
IGORA Royal 5-6,1,5.55
IGORA Royal 7-00,1,5.55
IGORA Royal FL L-22,1,5.76
Vibrance 7-1,1,4.92
IGORA Royal 8-1,1,5.55
"Vibrance 9,5-4",1,4.92
Vibrance 8-0,2,9.84
IGORA Royal 4-88,1,5.55
"Vibrance 9,5-46",1,4.92
IGORA Royal 7-1,2,11.10
Vibrance 5-65,1,4.92
Total,127,698.76
Total,150,912.24
Page 3 ,,
PROFESSIONAL,,
--,,
Profeesional use only,#,Cost
gloves small,1,0.00
Total,1,0.00
Total,1,0.00
Schwarzkopf,,
Colour Tubes,#,Cost
IGORA Colour10  6-0,1,5.55
IGORA Colour10 8-11,2,11.10
IGORA Royal Vibrance 9-0,1,4.92
Total,4,21.57
Hair Products (Prep),#,Cost
pH 4.5 Color Freeze Rich Shampoo,1,17.45
Hyaluronic Moisture Kick Treatment,1,18.30
Hyaluronic Moisture Kick Conditioner,1,18.30
Total,3,54.05
Profeesional use only,#,Cost
Silver foil (box of 3) 90m Plain ,1,10.80
Total,1,10.80
Professional use only,#,Cost
BW pH 4.5 Color Freeze Silver Shampoo,1,17.45
Peptide Repair Rescue treatment,1,18.30
Collagen Volume Boost Micellar Shampoo,1,17.45
Peptide Repair Rescue Shampoo,1,17.45
Peptide Repair Rescue Conditioner,1,18.30
Total,5,88.95
Total,13,175.37
Schwarzkopf Igora,,
Colour Tubes,#,Cost
c10 7-1,1,0.00
Total,1,0.00
Total,1,0.00
Page 4 ,,
RETAIL,,
Kevin.Murphy,,
Hair Products (Prep),#,Cost
YOUNG.AGAIN OIL,1,17.88
Total,1,17.88
Hair Products (Wet to Dry),#,Cost
Heated.Defense,1,13.54
BODY.MASS,1,17.88
Total,2,31.42
Total,3,49.30
Schwarzkopf,,
Hair Products (Finish),#,Cost
OSiS Session Label Powder Cloud 8g,1,9.03
Osis Elastic 500ml,1,6.24
Total,2,15.27
Hair Products (Prep),#,Cost
blondme blush wash lilac,1,14.40
Total,1,14.40
Hair Products (Wet to Dry),#,Cost
peptide repair rescue sealed ends,1,7.17
Good Bye Yellow neutralizing wash,1,12.50
Total,2,19.67
Professional use only,#,Cost
Peptide Repair Rescue Deep Nourishing Shampoo,1,17.45
Total,1,17.45
Total,6,66.79
Page 5 ,,
