Product Usage Report,,
Jakata Salon,,
01/01/22 - 30/03/22 (Days: 89),,
Staff All,,
COLOUR,,
Schwarzkopf,,
Colour Bleach,#,Cost
BM Premi Lift 9+,37,524.66
Igora Vario Blond Super Plus ,2,31.60
Total,39,556.26
Colour Developers,#,Cost
Vibrance 1.9% lotion,21,116.55
IGORA Royal Oxigenta 6% 1 Litre,11,63.03
Vibrance Lotion 4%,1,5.55
IGORA Royal Oxigenta 9% 1 Litre,2,11.46
BM Developer 2%,21,127.26
IGORA Royal Oxigenta 12% 1 Litre,1,5.73
BM Developer 6%,19,115.14
IGORA Royal Oxigenta 3% 1 Litre,10,57.30
BM Developer 9%,2,12.12
Total,88,514.14
Colour Tubes,#,Cost
IGORA Royal 5-0,17,94.35
IGORA Vibrance 4-46,1,4.92
IGORA Royal FL L-77,10,57.60
IGORA Vibrance 1-0,2,9.84
BM toning caramel,1,6.42
IGORA Color10 7-0,3,16.65
IGORA Royal 6-77,8,44.40
Vibrance 8-11,7,34.44
IGORA Vibrance 4-13,2,9.84
IGORA Color10 7-12,2,11.10
IGORA Color10 5-7,1,5.55
IGORA Vibrance 8-46,5,24.60
IGORA Royal ABS 6-07,1,5.76
Vibrance 7-4,6,29.52
Page 1,,
Vibrance 6-78,2,9.84
IGORA Royal 7-0,16,88.80
IGORA Royal SW Silver,3,17.28
IGORA Color10 4-99,1,5.55
IGORA Color10 6-4,2,11.10
IGORA Color10 6-88,1,5.55
IGORA Vibrance 9-24,1,0.00
"Vibrance 9,5-4",11,54.12
IGORA Color10 6-00,6,33.30
Vibrance 9-0,6,29.52
IGORA ROYAL 4-46,2,11.10
Vibrance 7-55,1,4.92
Vibrance 6-46,1,4.92
Vibrance 9-65,1,4.92
IGORA Royal 6-0,184298156,"10,228,547,707.9"
IGORA Royal 8-77,12,66.60
"Vibrance 9,5-1",29,142.68
IGORA Royal 6-4,3,16.65
IGORA ROYAL 7-57,1,5.55
IGORA Vibrance 3-0,1,4.92
IGORA Royal 10-0,1,5.55
IGORA ROYAL 7-76,4,23.04
IGORA Royal 7-00,6,33.30
IGORA ROYAL 6-46,6,33.30
IGORA Royal 5-1,2,11.10
IGORA ROYAL 9-48,1,5.76
TBH 7-47 W,3,19.26
BM toning strawberry,6,38.52
IGORA Color10 5-0,6,33.30
IGORA Royal 9-1,3,16.65
Vibrance 9-7,3,14.76
IGORA Vibrance 0-77,2,9.84
Vibrance 9-4,16,78.72
IGORA Royal 5-00,1,5.55
IGORA Royal 3-0,3,16.65
IGORA Royal 10-1,3,16.65
IGORA Color10 6-6,1,5.55
Vibrance 7-0,6,29.52
IGORA Vibrance 8-19,14,68.88
Page 2,,
IGORA Color10 9-00,1,5.55
IGORA Royal 4-0,12,66.60
IGORA Royal ABS 7-60,1,5.76
IGORA Royal 6-00,5,27.75
Vibrance 9-57,1,4.92
Vibrance 7-65,5,24.60
IGORA Royal ABS 8-140,1,5.76
IGORA Royal 9-98,1,5.55
Vibrance 9-1,30,147.60
IGORA Royal ABS 6-60,2,11.52
IGORA Color10 9-12,2,11.10
IGORA Royal ABS 6-70,2,11.52
IGORA Royal 5-99,2,11.10
"Vibrance 9,5-98",5,24.60
BM  Toning Steel Blue,1,6.42
TBH 10-19 C,1,0.00
IGORA Royal SW Slate Grey,5,28.80
IGORA Royal 7-77,11,61.05
IGORA Vibrance 5-1,3,14.85
IGORA ROYAL 3-22,2,11.52
IGORA Vibrance 9-42,9,0.00
IGORA Royal 7-1,3,16.65
IGORA Royal 8-4,2,11.10
Vibrance 5-65,2,9.84
IGORA Royal 7-55,1,5.55
IGORA Royal 7-4,2,11.10
IGORA Royal 6-6,4,22.20
IGORA Vibrance 4-68,1,4.92
IGORA Royal 6-99,3,16.65
IGORA Royal 5-7,3,16.65
IGORA Royal 8-11,2,11.10
IGORA Vibrance 7-21,1,4.92
BM toning ice,25,160.50
IGORA Royal SW Dove Grey,3,17.28
Vibrance 6-68,2,9.84
IGORA Royal 6-68,4,22.20
IGORA Royal 8-65,1,5.55
IGORA Royal 8-00,2,11.10
IGORA Vibrance 4-0,3,14.76
Page 3,,
IGORA Royal 5-4,1,5.55
IGORA ROYAL 5-16,1,0.00
IGORA Royal FL L-88,6,34.56
IGORA Royal 0-77,1,5.55
IGORA Vibrance 6-12,3,14.76
BM Bleach & tone pastel additive,2,12.84
"Vibrance 9,5-49",2,9.84
Vibrance 6-0,4,19.68
IGORA Royal 8-0,2,11.10
IGORA Royal 10-14,1,5.55
vibrance 7-57,2,9.84
IGORA Royal SW Grey Lilac,6,34.56
IGORA Royal 6-1,3,16.65
IGORA Royal 6-88,2,11.10
IGORA Royal 1-0,1,5.55
"Vibrance 9,5-5",8,39.36
BM toning lilac,6,38.52
IGORA Royal FL L-89,3,17.28
IGORA Royal 0-89,2,11.10
IGORA Royal 4-68,5,27.75
IGORA Vibrance 5-0,9,44.28
"Vibrance 9,5-19",15,73.80
IGORA Royal 5-88,2,11.10
IGORA Royal 8-1,2,11.10
IGORA Vibrance 0-00,1,4.92
IGORA Vibrance 5-21,2,9.84
IGORA Royal 3-68,1,5.55
IGORA Royal 7-65,5,27.75
IGORA Vibrance 0-11,2,9.84
Vibrance 7-77,6,29.52
Vibrance 9-00,1,4.92
IGORA Vibrance 7-48,1,4.92
BM toning sand,17,109.14
IGORA Royal 0-55,1,5.55
"IGORA Vibrance 9,5-21",6,29.52
IGORA Color10 5-12,3,16.65
IGORA ROYAL 8-19,3,17.28
IGORA Color10 9-0,1,5.55
IGORA Royal 9-00,2,11.10
Page 4,,
IGORA Vibrance 0-22,1,4.92
Vibrance 6-6,4,19.68
IGORA Royal 9-55,1,5.55
IGORA Vibrance 7-24,1,0.00
Vibrance 8-0,4,19.68
Vibrance 9-55,6,29.52
IGORA Royal 5-65,4,22.20
IGORA Color 10 3-0,3,16.65
BM Toning Ice-Irise,4,25.68
IGORA ROYAL 6-12,2,11.10
IGORA ROYAL 6-29,1,5.76
"IGORA Royal 9,5-1",4,22.20
Vibrance 7-1,8,39.36
"Vibrance 9,5-46",3,14.76
IGORA Royal 5-6,4,22.20
BM Bleach & tone Cool Addative,1,6.42
TBH 8-19 C,1,6.42
Total,18429821,"10,228,550,940.2"
Total,1842982,"10,228,552,01"
Schwarzkopf Professional,,
Colour Tubes,#,Cost
X Blonde-Me Nougat,1,5.72
X Blonde-Me Biscuit,1,0.00
Total,2,5.72
Total,2,5.72
Schwarzkopf.,,
Colour Bleach,#,Cost
BM Premi Lift 9+,15,261.90
IG VB Light Super Plus 450g,1,15.60
Total,16,277.50
Colour Developers,#,Cost
IR Oil Developer 9% 1L,1,6.30
BM Premium Developer 2% 1L,5,34.35
Igora Vibrance Developer 1.9%,8,47.76
IR Oil Developer 3% 1L,3,18.90
IR Oil Developer 6% 1L,4,25.20
Page 5,,
BM Premium Developer 6% 1L,7,48.09
Total,28,180.60
Colour Tubes,#,Cost
Igora Vibrance Light Blonde Natural 8-0,3,15.93
IR 12-1 60mL,1,6.24
IR 7-77 60ml,1,6.03
"Igora Vibrance Beige Toner 9,5-4",2,10.62
Igora Vibrance Black Natural 1-0,2,10.62
IG Color 10 - 9-0 60ml,1,6.24
Igora Vibrance Extra Light Blonde Beige 9-4,5,26.55
Igora Vibrance Light Blonde Beige Chocolate 8-46,1,5.31
IR 4-68 60ml,1,6.03
Igora Vibrance Extra light Blonde Copper 9-7,1,5.31
BM Bleach & tone cool,2,14.64
IR 9-00 60ml,1,6.03
Igora Vibrance Brown Chocolate 4-6,1,5.31
IR 8-4 60ml,2,12.06
Igora Vibrance Extra Light Blonde Gold Copper 9-57,1,5.31
IR L 00 60ml,2,12.48
IR 12-11 60mL,1,6.24
Igora Vibrance Light Blonde Cendre Violet 8-19,7,37.17
Igora Vibrance Medium Blonde Chocolate Gold 7-65,4,21.24
IG Color 10 - 8-0 60ml,1,6.24
Igora Vibrance Copper Concentrate 0-77,1,5.31
IR 5-0 60ml,9,54.27
"IR 9,5-1 60ml",1,6.03
Igora Vibrance Ash Concentrate 0-22,1,5.31
IG Color 10 - 6-88 60ml,1,6.24
IG Color 10 - 7-0 60ml,2,12.48
IR 9-4 60ml,1,6.03
IR 9-1 60ml,1,6.03
Igora Vibrance Dark Blonde Beige Chocolate 6-46,2,10.62
Igora Vibrance Extra Light Blonde Gold Extra 9-55,2,10.62
IG Color 10 - 6-4 60ml,4,24.96
Igora Vibrance Dark Blonde Cendre Ash 6-12,2,10.62
IG Color 10 - 6-0 60ml,2,12.48
