Product Usage Report,,
Jakata Salon,,
01/08/20 - 31/08/20 (Days: 31),,
Staff All,,
COLOUR,,
Schwarzkopf,,
Colour Bleach,#,Cost
Igora Vario Blond Super Plus ,3,47.40
BM Premi Lift 9+,20,283.60
Total,23,331.00
Colour Developers,#,Cost
IGORA Royal Oxigenta 6% 1 Litre,5,28.65
IGORA Royal Oxigenta 9% 1 Litre,1,5.73
BM Developer 9%,2,12.12
BM Developer 6%,13,78.78
IGORA Royal Oxigenta 3% 1 Litre,4,22.92
BM Developer 2%,14,84.84
Vibrance 1.9% lotion,9,49.95
Vibrance Lotion 4%,1,5.55
Total,49,288.54
Colour Tubes,#,Cost
IGORA Royal Opulescence 5-67,1,5.76
IGORA Royal FL L-89,2,11.52
Vibrance 7-77,1,4.92
BM Bleach & tone pastel additive,1,6.42
IGORA Royal ABS 8-01,1,5.76
Vibrance 7-1,7,34.44
IGORA Royal 9-65,1,5.55
IGORA Royal 9-4,2,11.10
IGORA Royal 5-68,1,5.55
IGORA Royal FL L-77,2,11.52
Vibrance 9-65,2,9.84
IGORA Royal 5-0,6,33.30
Vibrance 7-65,3,14.76
IGORA Color10 6-00 ,3,16.65
IGORA Royal 5-6,2,11.10
Page 1 ,,
IGORA Royal 8-4,5,27.75
IGORA Royal 7-4,4,22.20
IGORA Royal 5-1,3,16.65
BM toning lilac,4,25.68
vibrance 0-22,1,4.92
BM toning strawberry,3,19.26
BM toning sand,4,25.68
Vibrance 8-0,5,24.60
Vibrance 8-46,4,19.68
IGORA Royal 6-00,2,11.10
"IGORA Royal 9,5-1",8,44.40
IGORA Royal 8-00,5,27.75
IGORA Royal 8-77,2,11.10
Vibrance 6-63,1,4.92
IGORA Royal 9-1,2,11.10
IGORA Royal 12-4,1,5.55
Vibrance 9-4,5,24.60
Vibrance 8-19,8,39.36
Vibrance 0-11,2,9.84
"Vibrance 9,5-5",1,4.92
Vibrance 9-55,1,4.92
"Vibrance 9,5-1",11,54.12
IGORA Royal 0-11,1,5.55
"Vibrance 9,5-4",6,29.52
"Vibrance 9,5-46",1,4.92
IGORA Color10 5-0 ,4,22.20
IGORA Royal SW Dove Grey,2,11.52
Igora dusted rouge 8-849,1,5.59
IGORA Royal 6-1,3,16.65
