Product Usage Report,,
Paul Kemp Hairdressing,,
01/01/22 - 30/03/22 (Days: 89),,
Staff All,,
COLOUR,,
Schwarzkopf,,
Colour Bleach,#,Cost
Igora Vario Blond Super Plus ,3,47.40
BM Premi Lift 9+,40,567.20
Total,43,614.60
Colour Developers,#,Cost
BM Developer 6%,28,169.68
IGORA Royal Oxigenta 9% 1 Litre,2,11.46
Vibrance 1.9% lotion,23,127.65
IGORA Royal Oxigenta 3% 1 Litre,3,17.19
IGORA Royal Oxigenta 6% 1 Litre,11,63.03
BM Developer 2%,15,90.90
Vibrance Lotion 4%,4,22.20
Total,86,502.11
Colour Tubes,#,Cost
Vibrance 6-78,3,14.76
IGORA Vibrance 5-21,2,9.84
IGORA Royal 0-11,1,5.55
Vibrance 6-63,1,4.92
IGORA Vibrance 9-42,2,0.00
"Vibrance 9,5-1",32,157.44
IGORA ROYAL 7-21,6,33.30
IGORA Royal ABS 8-60,2,11.52
Vibrance 6-46,4,19.68
IGORA Royal ABS 6-60,1,5.76
BM toning lilac,1,6.42
IGORA Royal 9-00,9,49.95
IGORA Royal 4-63,2,11.10
Vibrance 7-88,5,24.60
IGORA Color10 5-0,1,5.55
IGORA Royal 10-0,2,11.10
Page 1,,
IGORA Vibrance 7-48,1,4.92
"Vibrance 9,5-19",18,88.56
IGORA Royal ABS 7-50,1,5.76
IGORA Royal 5-0,8,44.40
IGORA Vibrance 7-24,5,0.00
IGORA Royal 7-65,6,33.30
IGORA Royal 8-11,5,27.75
IGORA ROYAL 7-76,3,17.28
IGORA Royal 5-00,7,38.85
BM Toning Ice-Irise,3,19.26
IGORA Vibrance 8-19,9,44.28
IGORA ROYAL 5-16,5,0.00
IGORA Royal 4-6,6,33.30
IGORA ROYAL 6-12,4,22.20
IGORA Royal 7-1,12,66.60
Vibrance 6-68,1,4.92
TBH 5-16 C,3,19.26
IGORA Royal 12-2,1,5.55
IGORA Vibrance 5-0,2,9.84
Vibrance 6-0,8,39.36
Vibrance 7-55,7,34.44
IGORA Royal ABS 7-60,1,5.76
IGORA Royal 3-0,1,5.55
IGORA Royal 8-00,14,77.70
Vibrance 5-7,1,4.92
IGORA Royal 10-14,2,11.10
TBH 6-64 W,2,12.84
IGORA Royal 6-00,12,66.60
IGORA Royal FL L-89,1,5.76
IGORA Royal FL L-77,1,5.76
IGORA Vibrance 5-1,1,4.95
IGORA Royal 9-4,2,11.10
IGORA Vibrance 5-57,1,4.92
IGORA Royal 6-0,4,22.20
IGORA Royal 8-4,2,11.10
Vibrance 7-65,10,49.20
TBH 9-49 C,1,6.42
IGORA Vibrance 8-46,14,68.88
IGORA Color10 6-65,1,5.55
Page 2,,
IGORA Vibrance 3-19,2,9.84
IGORA Royal ABS 4-60,1,5.76
IGORA Color10 6-88,1,5.55
BM toning sand,4,25.68
IGORA Vibrance 0-89,1,4.92
IGORA ROYAL 9-67,1,5.76
IGORA Vibrance 9-24,2,0.00
IGORA Royal 7-77,2,11.10
vibrance 7-57,6,29.52
IGORA Royal 6-6,3,16.65
IGORA Vibrance 4-68,2,9.84
IGORA Royal 3-65,1,5.55
IGORA Royal 9-98,1,5.55
BM toning ice,18,115.56
IGORA Vibrance 0-00,1,4.92
Vibrance 9-65,6,29.52
IGORA Royal 6-99,2,11.10
IGORA Royal 0-88,1,5.55
Vibrance 9-1,20,98.40
IGORA Color10 6-00,1,5.55
"IGORA Royal 9,5-22",2,11.10
Vibrance 9-57,2,9.84
Vibrance 7-77,3,14.76
"IGORA Royal 9,5-4",4,22.20
IGORA Royal 12-0,1,5.55
IGORA Vibrance 0-11,2,9.84
IGORA Vibrance 6-12,6,29.52
IGORA Royal 10-1,4,22.20
IGORA Royal 5-6,1,5.55
Vibrance 9-55,4,19.68
BM toning strawberry,1,6.42
"Vibrance 9,5-4",16,78.72
IGORA Color10 6-6,1,5.55
Vibrance 7-4,6,29.52
IGORA Royal 4-68,1,5.55
IGORA ROYAL 4-46,1,5.55
Vibrance 9-0,6,29.52
"Vibrance 9,5-46",10,49.20
"Vibrance 9,5-49",15,73.80
Page 3,,
IGORA ROYAL 8-21,3,17.28
IGORA Vibrance 4-0,1,4.92
"IGORA Vibrance 9,5-21",3,14.76
Vibrance 7-1,14,68.88
"IGORA Royal 9,5-49",5,27.75
IGORA Royal 9-7,1,5.55
"Vibrance 9,5-5",6,29.52
Vibrance 8-11,15,73.80
IGORA Royal 7-4,2,11.10
IGORA Royal 6-88,5,27.75
Vibrance 9-7,2,9.84
Vibrance 5-65,2,9.84
IGORA Royal 9-0,2,11.10
IGORA Royal 8-1,5,27.75
Vibrance 6-6,6,29.52
IGORA Royal 8-77,1,5.55
IGORA Royal 9-1,3,16.65
IGORA Color10 8-65,1,5.55
IGORA Royal FL L-88,2,11.52
Vibrance 8-0,9,44.28
IGORA Royal 9-55,2,11.10
IGORA Royal 6-1,4,22.20
IGORA Vibrance 0-00,2,9.84
IGORA ROYAL 8-46,8,44.40
Vibrance 5-88,4,19.68
IGORA Royal 4-0,7,38.85
IGORA Royal ABS 5-60,1,5.76
TBH 9-47 W,1,6.42
Vibrance 7-0,12,59.04
BM Bleach & tone Cool Addative,1,6.42
IGORA Royal 5-88,3,16.65
IGORA Royal 7-0,8,44.40
IGORA Vibrance 7-21,1,4.92
"IGORA Royal 9,5-1",28,155.40
