Product Usage Report,,
Paul Kemp Hairdressing,,
01/01/19 - 31/01/19 (Days: 31),,
Staff All,,
COLOUR,,
Schwarzkopf,,
Colour Bleach,#,Cost
Igora Vario Blond Super Plus ,4,63.20
BM Premi Lift 9+,14,198.52
Total,18,261.72
Colour Developers,#,Cost
IGORA Royal Oxigenta 12% 1 Litre,1,5.73
IGORA Royal Oxigenta 3% 1 Litre,4,22.92
BM Developer 9%,1,6.06
Vibrance 1.9% lotion,8,44.40
IGORA Royal Oxigenta 9% 1 Litre,1,5.73
Vibrance activator gel 1.9%,2,11.10
BM Developer 6%,9,54.54
IGORA Royal Vibrance Developer Lotion 4% Litre,1,5.55
BM Developer 2%,7,42.42
IGORA Royal Oxigenta 6% 1 Litre,6,34.38
Total,40,232.83
Colour Tubes,#,Cost
Vibrance 7-55,1,4.92
Vibrance 8-11,2,9.84
IGORA Royal 6-12,4,22.20
Vibrance 6-12,2,9.84
IGORA Royal 4-99,1,5.55
IGORA ROYAL OPULESCENCE 7-48,1,5.76
Vibrance 7-65,3,14.76
"Vibrance 9,5-5",1,4.92
"IGORA Royal 9,5-4",3,16.65
IGORA Royal 8-65,3,16.65
IGORA Royal 1-0,1,5.55
Vibrance 8-0,2,9.84
disheveled nudes 8-211,1,5.76
Page 1 ,,
IGORA Royal ABS 8-07,1,5.76
IGORA Royal 6-88,2,11.10
IGORA Royal Nude 8-46,4,22.20
IGORA Royal 3-65,1,5.55
IGORA Royal SW Grey Lilac,1,5.76
IGORA Royal Nude 6-46,4,22.20
Vibrance 5-1,1,4.95
IGORA Royal ABS 5-60,1,5.76
IGORA Royal 0-88,1,5.55
Vibrance 5-00,1,4.92
IGORA Royal 10-1,2,11.10
Vibrance 7-77,2,9.84
IGORA Royal 5-68,1,5.55
vibrance 7-57,1,4.92
IGORA Royal 0-11,3,16.65
Igora Royal 4-998,1,5.76
IGORA Royal 7-4,2,11.10
Vibrance 5-65,1,4.92
IGORA Royal 12-0,1,5.55
Vibrance 3-19,1,4.92
"Vibrance 9,5-98",2,9.84
IGORA Color10 6-6,1,5.55
IGORA Royal 8-0,5,27.75
IGORA Royal 4-0,2,11.10
Vibrance 9-1,4,19.68
Vibrance 5-0,1,4.92
IGORA Royal 6-00,8,44.40
Vibrance 5-57,1,4.92
BM toning lilac,1,6.42
IGORA Royal 8-11,8,44.40
"Vibrance 9,5-19",6,29.52
Vibrance 0-99,2,9.84
vibrance 0-22,1,4.92
IGORA Royal 8-4,2,11.10
Vibrance 0-00,1,4.92
IGORA Royal 6-65,2,11.10
Igora dusted rouge 7-764,1,5.76
Vibrance 9-55,1,4.92
IGORA Royal 7-00,5,27.75
Page 2 ,,
Vibrance 7-1,4,19.68
Vibrance 9-4,2,9.84
Vibrance 9-0,1,4.92
IGORA Royal 7-55,1,5.55
IGORA Royal 10-4,1,5.55
IGORA Royal ABS 8-01,1,5.76
IGORA Royal 7-57,2,11.10
IGORA Royal SW Slate Grey,1,5.76
IGORA Royal Nude 7-46,5,27.75
"Vibrance 9,5-1",11,54.12
Vibrance 7-0,1,4.92
IGORA Color10 7-12,1,5.55
Vibrance 0-77,1,4.92
Vibrance 6-6,2,9.84
Vibrance 6-78,1,4.92
IGORA ROYAL OPULESCENCE 8-19,1,5.76
IGORA Royal 4-63,1,5.55
IGORA Royal 12-2,1,5.55
BM toning sand,1,6.42
"IGORA Royal 9,5-49",4,22.20
IGORA Royal FL L-88,1,5.76
IGORA Color10 8-65,1,5.55
Vibrance 9-00,1,4.92
IGORA Color10 6-00 ,1,5.55
IGORA Royal FL L-77,1,5.76
IGORA Royal 6-0,4,22.20
"Vibrance 9,5-46",5,24.60
Vibrance 9-7,3,14.76
IGORA Royal Opulescence 3-19,1,5.76
IGORA Royal 9-1,2,11.10
Vibrance 4-46,2,9.84
"Vibrance 9,5-21",5,24.60
IGORA Royal ABS 8-60,1,5.76
IGORA Color10 5-12 ,1,5.55
IGORA Royal 7-0,3,16.65
IGORA Royal 7-1,6,33.30
Vibrance 6-0,1,4.92
IGORA Royal 10-0,2,11.10
IGORA Royal FL L-89,1,5.76
Page 3 ,,
IGORA Royal 5-0,3,16.65
Vibrance 4-13,1,4.92
IGORA Color10 7-0 ,1,5.55
IGORA Royal 1-1,1,5.55
IGORA Royal Nude 10-46,1,5.55
Vibrance 9-65,2,9.84
Vibrance 5-7,1,4.92
IGORA Royal 8-1,5,27.75
IGORA Royal 9-0,1,5.55
Vibrance 7-4,2,9.84
