Product Performance,,,,,,,,,,,,,,,
Base Hair Academy,,,,,,,,,,,,,,,
01/01/22 - 30/03/22 (Days: 89),,,,,,,,,,,,,,,
Category All,,,,,,,,,,,,,,,
Brand All,,,,,,,,,,,,,,,
Name All,,,,,,,,,,,,,,,
Include zero sales No,,,,,,,,,,,,,,,
Brand K18.Biomimetic.Hairscience - Category Retail (Backwash),,,,,,,,,,,,,,,
Product Name,"Unit
Cost","Unit
Price",Arriv,"Sold
Qt",Stock,"Last
Wk Qt","Last 2
Wks Qt","Trans
In","Trans
Out",Order,"Gross
Profit",GP%,"Sell
thru","Days
Stock",Barcode
K18 15 ML leave-in molecular repair hair mask 2022,0.00,25.00,0,3,-3,0,1,0,0,0,68.75,100%,0%,NA,858511001289
K18 5ML leave-in molecular repair hair mask 2022,0.00,9.50,0,1,-1,0,0,0,0,0,9.50,100%,0%,NA,858511001098
"Brand Kevin.Murphy - Category Retail (Shampoo, Conditioner, Treatment)",,,,,,,,,,,,,,,
Product Name,"Unit
Cost","Unit
Price",Arriv,"Sold
Qt",Stock,"Last
Wk Qt","Last 2
Wks Qt","Trans
In","Trans
Out",Order,"Gross
Profit",GP%,"Sell
thru","Days
Stock",Barcode
ANGEL.WASH,11.92,22.00,0,1,-8,0,0,0,0,0,10.08,46%,0%,NA,9339341007494
BLONDE.ANGEL.WASH,11.92,22.00,0,1,-12,0,0,0,0,0,10.08,46%,0%,NA,9339341007555
HYDRATE-ME.RINSE,12.46,23.00,0,2,-6,0,0,0,0,0,21.08,46%,0%,NA,9339341009764
HYDRATE-ME.WASH,11.92,22.00,0,3,-9,0,0,0,0,0,23.64,40%,0%,NA,9339341009740
MAXI.WASH,10.83,20.00,0,1,-3,0,0,0,0,0,6.17,36%,0%,NA,9339341011002
PLUMPING.RINSE,14.08,26.00,0,1,-4,0,0,0,0,0,11.92,46%,0%,NA,9339341003458
PLUMPING.WASH,13.00,24.00,0,2,-7,0,0,0,0,0,22.00,46%,0%,NA,9339341009788
REPAIR-ME.RINSE,14.08,26.00,0,1,-9,0,0,0,0,0,11.92,46%,0%,NA,9339341004455
YOUNG.AGAIN OIL,17.88,33.00,0,1,-9,0,0,0,0,0,15.12,46%,0%,NA,9339341001744
Page 1,,,,,,,,,,,,,,,
Brand Kevin.Murphy - Category Retail (Styling Products),,,,,,,,,,,,,,,
Product Name,"Unit
Cost","Unit
Price",Arriv,"Sold
Qt",Stock,"Last
Wk Qt","Last 2
Wks Qt","Trans
In","Trans
Out",Order,"Gross
Profit",GP%,"Sell
thru","Days
Stock",Barcode
ANTI.GRAVITY,12.46,23.00,0,2,-11,0,0,0,0,0,21.08,46%,0%,NA,9339341000259
BODY.MASS,17.88,33.00,0,1,-4,0,0,0,0,0,15.12,46%,0%,NA,9339341003465
Heated.Defense,13.54,25.00,0,1,-2,0,0,0,0,0,5.21,28%,0%,NA,9339341006336
SHIMMER.ME BLONDE,13.54,25.00,0,1,-1,0,1,0,0,0,11.46,46%,0%,NA,9339341005001
kevin.murphy blowdry ever.smooth,0.00,30.00,0,2,-5,0,0,0,0,0,60.00,100%,0%,NA,9339341022565
Brand Miscellaneous - Category Internal Marketing,,,,,,,,,,,,,,,
Product Name,"Unit
Cost","Unit
Price",Arriv,"Sold
Qt",Stock,"Last
Wk Qt","Last 2
Wks Qt","Trans
In","Trans
Out",Order,"Gross
Profit",GP%,"Sell
thru","Days
Stock",Barcode
Refferal In,0.00,0.00,0,13,-23,0,1,0,0,0,0.00,NA,0%,NA,16019768
Refferal Out,0.00,0.00,0,137,-226,5,14,0,0,0,0.00,NA,0%,NA,16021976
Brand Olaplex - Category Retail (Backwash),,,,,,,,,,,,,,,
Product Name,"Unit
Cost","Unit
Price",Arriv,"Sold
Qt",Stock,"Last
Wk Qt","Last 2
Wks Qt","Trans
In","Trans
Out",Order,"Gross
Profit",GP%,"Sell
thru","Days
Stock",Barcode
Olaplex Bond Intense Moisture Mask No.8,0.00,25.00,0,2,-3,0,0,0,0,0,50.00,100%,0%,NA,896364002930
Olaplex Bond Maintenance Conditioner No.5,0.00,25.00,0,3,-10,0,0,0,0,0,67.50,100%,0%,NA,896364002435
Olaplex Bond Maintenance Shampoo No.4,0.00,25.00,0,3,-9,0,0,0,0,0,60.00,100%,0%,NA,896364002428
Olaplex Hair Perfector No.3,17.25,25.00,0,1,-5,0,0,0,0,0,0.25,1%,0%,NA,896364002350
Olaplex Toning Shampoo No.4P,0.00,25.00,0,1,-2,0,0,0,0,0,25.00,100%,0%,NA,850018802192
Brand Olaplex - Category Retail products,,,,,,,,,,,,,,,
Product Name,"Unit
Cost","Unit
Price",Arriv,"Sold
Qt",Stock,"Last
Wk Qt","Last 2
Wks Qt","Trans
In","Trans
Out",Order,"Gross
Profit",GP%,"Sell
thru","Days
Stock",Barcode
Olaplex Bond Smoother No.6,17.90,25.00,0,1,-4,0,0,0,0,0,7.10,28%,0%,NA,896364002602
Olaplex Bonding Oil No.7,17.90,25.00,0,1,-4,0,0,0,0,0,7.10,28%,0%,NA,896364002671
Page 2,,,,,,,,,,,,,,,
Brand STMNT - Category Retail (Styling Products),,,,,,,,,,,,,,,
Product Name,"Unit
Cost","Unit
Price",Arriv,"Sold
Qt",Stock,"Last
Wk Qt","Last 2
Wks Qt","Trans
In","Trans
Out",Order,"Gross
Profit",GP%,"Sell
thru","Days
Stock",Barcode
STMNT Dry Clay,0.00,20.00,0,1,-3,0,0,0,0,0,20.00,100%,0%,NA,42400820
STMNT GROOMING SPRAY,0.00,20.00,0,1,-2,0,0,0,0,0,0.00,NA,0%,NA,4045787575309
STMNT HAIR SPRAY,0.00,20.00,0,1,-1,0,0,0,0,0,14.00,100%,0%,NA,4045787575460
STMNT MATTE PASTE,0.00,20.00,0,1,-2,1,1,0,0,0,20.00,100%,0%,NA,42400806
Brand Schwarzkopf. - Category Internal Marketing,,,,,,,,,,,,,,,
Product Name,"Unit
Cost","Unit
Price",Arriv,"Sold
Qt",Stock,"Last
Wk Qt","Last 2
Wks Qt","Trans
In","Trans
Out",Order,"Gross
Profit",GP%,"Sell
thru","Days
Stock",Barcode
£10 Product Voucher,0.00,-10.00,0,5,-55,0,1,0,0,0,-47.50,100%,0%,NA,NA
£5 Product voucher,0.00,-5.00,0,2,-53,0,0,0,0,0,-8.75,100%,0%,NA,NA
"Brand Schwarzkopf. - Category Retail (Shampoo, Conditioner, Treatment)",,,,,,,,,,,,,,,
Product Name,"Unit
Cost","Unit
Price",Arriv,"Sold
Qt",Stock,"Last
Wk Qt","Last 2
Wks Qt","Trans
In","Trans
Out",Order,"Gross
Profit",GP%,"Sell
thru","Days
Stock",Barcode
Color Freeze Silver Shampoo 250ml,7.14,14.30,0,1,-1,1,1,0,0,0,7.16,50%,0%,NA,4045787723519
Color Freeze Treatment Silver 200ml,8.94,17.85,0,1,-1,1,1,0,0,0,8.91,50%,0%,NA,4045787725636
Repair Rescue Sealed Ends+ 100ml,9.33,18.65,0,1,-1,1,1,0,0,0,9.32,50%,0%,NA,4045787723175
Brand Schwarzkopf. - Category Retail (Styling Products),,,,,,,,,,,,,,,
Product Name,"Unit
Cost","Unit
Price",Arriv,"Sold
Qt",Stock,"Last
Wk Qt","Last 2
Wks Qt","Trans
In","Trans
Out",Order,"Gross
Profit",GP%,"Sell
thru","Days
Stock",Barcode
