Product Performance,,,,,,,,,,,,,,,
Base Hair Academy,,,,,,,,,,,,,,,
01/02/20 - 29/02/20 (Days: 29),,,,,,,,,,,,,,,
Category All,,,,,,,,,,,,,,,
Brand All,,,,,,,,,,,,,,,
Name All,,,,,,,,,,,,,,,
Include zero sales No,,,,,,,,,,,,,,,
Brand Miscellaneous - Category Internal Marketing,,,,,,,,,,,,,,,
Product Name,"Unit
Cost","Unit
Price",Arriv,"Sold
Qt",Stock,"Last
Wk Qt","Last 2
Wks Qt","Trans
In","Trans
Out",Order,"Gross
Profit",GP%,"Sell
thru","Days
Stock",Barcode
Refferal Out,0.00,0.00,0,11,-70,1,1,0,0,0,0.00,NA,0%,NA,16021976
Brand Schwarzkopf - Category Hair Products (Finish),,,,,,,,,,,,,,,
Product Name,"Unit
Cost","Unit
Price",Arriv,"Sold
Qt",Stock,"Last
Wk Qt","Last 2
Wks Qt","Trans
In","Trans
Out",Order,"Gross
Profit",GP%,"Sell
thru","Days
Stock",Barcode
Osis Dust It 10gr,6.75,13.50,0,2,-4,0,0,0,0,0,9.45,41%,0%,NA,4045787314199
Osis Mess Up 100ml,6.75,13.50,0,1,-26,2,3,0,0,0,6.75,50%,0%,NA,4045787314601
Brand Schwarzkopf - Category Hair Products (Prep),,,,,,,,,,,,,,,
Product Name,"Unit
Cost","Unit
Price",Arriv,"Sold
Qt",Stock,"Last
Wk Qt","Last 2
Wks Qt","Trans
In","Trans
Out",Order,"Gross
Profit",GP%,"Sell
thru","Days
Stock",Barcode
BM Keratin Restore Bonding Mask All Blondes 200ml,8.94,17.95,0,2,-3,0,0,0,0,0,-5.88,-49%,0%,NA,4045787369939
BM Keratin Restore Bonding Shampoo All Blondes 250ml,7.32,14.60,0,2,-3,0,0,0,0,0,-2.64,-22%,0%,NA,4045787369779
Bold Wash Blue,7.50,15.00,0,2,-5,0,0,0,0,0,15.00,50%,0%,NA,4045787430493
hyaluronic moisture kick micellar spray conditioner,6.36,12.65,0,1,-12,0,0,0,0,0,6.29,50%,0%,NA,4045787429497
pH 4.5 Colour Freeze Conditioner,6.36,12.65,0,2,-14,0,0,0,0,0,-0.72,-6%,0%,NA,4045787429237
Page 1,,,,,,,,,,,,,,,
pH 4.5 Colour Freeze Silver Micellar Shampoo,5.73,11.45,0,1,-28,1,1,0,0,0,5.72,50%,0%,423,4045787430134
pH 4.5 Colour Freeze Spray Conditioner,6.36,12.65,0,1,-13,0,1,0,0,0,6.29,50%,0%,NA,4045787429275
pH 4.5 Colour Freeze Sulfate Free Micellar Shampoo,5.73,11.45,0,4,-18,0,0,0,0,0,1.08,5%,0%,NA,4045787428759
pH 4.5 Colour Freeze Treatment,7.17,14.30,0,2,-3,0,0,0,0,0,-2.34,-20%,0%,NA,4045787429312
pH 4.5 Colour Freeze Vibrant Red Micellar Shampoo,5.73,11.10,0,1,-1,0,0,0,0,0,3.82,40%,0%,NA,4045787430257
Brand Schwarzkopf - Category Hair Products (Wet to Dry),,,,,,,,,,,,,,,
Product Name,"Unit
Cost","Unit
Price",Arriv,"Sold
Qt",Stock,"Last
Wk Qt","Last 2
Wks Qt","Trans
In","Trans
Out",Order,"Gross
Profit",GP%,"Sell
thru","Days
Stock",Barcode
OSiS Session Label Volumizing Mousse 200ml,6.21,12.90,0,1,-8,1,1,0,0,0,6.69,52%,0%,NA,4045787370379
Osis Flatliner 200ml,6.60,13.15,0,1,-16,1,3,0,0,0,6.55,50%,0%,NA,4045787314908
Brand Schwarzkopf - Category Internal Marketing,,,,,,,,,,,,,,,
Product Name,"Unit
Cost","Unit
Price",Arriv,"Sold
Qt",Stock,"Last
Wk Qt","Last 2
Wks Qt","Trans
In","Trans
Out",Order,"Gross
Profit",GP%,"Sell
thru","Days
Stock",Barcode
£10 Product Voucher,0.00,-10.00,0,1,-21,0,1,0,0,0,-10.00,100%,0%,NA,NA
£5 Product voucher,0.00,-5.00,0,1,-22,0,2,0,0,0,-5.00,100%,0%,NA,NA
Page 2,,,,,,,,,,,,,,,
