Product Performance,,,,,,,,,,,,,,,
Jakata Salon,,,,,,,,,,,,,,,
01/01/22 - 30/03/22 (Days: 89),,,,,,,,,,,,,,,
Category All,,,,,,,,,,,,,,,
Brand All,,,,,,,,,,,,,,,
Name All,,,,,,,,,,,,,,,
Include zero sales No,,,,,,,,,,,,,,,
Brand Extensions - Category Extensions Hair,,,,,,,,,,,,,,,
Product Name,"Unit
Cost","Unit
Price",Arriv,"Sold
Qt",Stock,"Last
Wk Qt","Last 2
Wks Qt","Trans
In","Trans
Out",Order,"Gross
Profit",GP%,"Sell
thru","Days
Stock",Barcode
All Hair Extensions,0.00,0.00,0,1,-1,0,0,0,0,0,347.99,100%,0%,NA,NA
Brand K18.Biomimetic.Hairscience - Category Retail (Backwash),,,,,,,,,,,,,,,
Product Name,"Unit
Cost","Unit
Price",Arriv,"Sold
Qt",Stock,"Last
Wk Qt","Last 2
Wks Qt","Trans
In","Trans
Out",Order,"Gross
Profit",GP%,"Sell
thru","Days
Stock",Barcode
K18 15 ML leave-in molecular repair hair mask 2022,0.00,25.00,0,9,-9,4,5,0,0,0,207.50,100%,0%,NA,858511001289
K18 50ML leave-in molecular repair hair mask 2022,0.00,55.00,0,1,-1,0,0,0,0,0,55.00,100%,0%,NA,858511001128
K18 5ML leave-in molecular repair hair mask 2022,0.00,9.50,0,2,-2,1,1,0,0,0,19.00,100%,0%,NA,858511001098
Brand Kevin.Murphy - Category Gift Pack,,,,,,,,,,,,,,,
Product Name,"Unit
Cost","Unit
Price",Arriv,"Sold
Qt",Stock,"Last
Wk Qt","Last 2
Wks Qt","Trans
In","Trans
Out",Order,"Gross
Profit",GP%,"Sell
thru","Days
Stock",Barcode
Kevin.Murphy Once Upon A Blonde,0.00,45.00,0,2,-9,0,1,0,0,0,63.00,100%,0%,NA,9339341035091
Brand Kevin.Murphy - Category Retail (Backwash),,,,,,,,,,,,,,,
