Product Performance,,,,,,,,,,,,,,,
Jakata Salon,,,,,,,,,,,,,,,
01/01/20 - 31/01/20 (Days: 31),,,,,,,,,,,,,,,
Category All,,,,,,,,,,,,,,,
Brand All,,,,,,,,,,,,,,,
Name All,,,,,,,,,,,,,,,
Include zero sales No,,,,,,,,,,,,,,,
Brand Luxury - Category Freelance Product Sale,,,,,,,,,,,,,,,
Product Name,"Unit
Cost","Unit
Price",Arriv,"Sold
Qt",Stock,"Last
Wk Qt","Last 2
Wks Qt","Trans
In","Trans
Out",Order,"Gross
Profit",GP%,"Sell
thru","Days
Stock",Barcode
Freelance Product Sale,0.00,0.00,0,17,-502,8,17,0,0,0,429.26,100%,0%,NA,NA
Brand Beauty Works - Category beauty works,,,,,,,,,,,,,,,
Product Name,"Unit
Cost","Unit
Price",Arriv,"Sold
Qt",Stock,"Last
Wk Qt","Last 2
Wks Qt","Trans
In","Trans
Out",Order,"Gross
Profit",GP%,"Sell
thru","Days
Stock",Barcode
Shipping Fee (under £200),0.00,5.00,0,1,-6,0,0,0,0,0,5.00,100%,0%,NA,NA
Brand GHD - Category Hair Tools,,,,,,,,,,,,,,,
Product Name,"Unit
Cost","Unit
Price",Arriv,"Sold
Qt",Stock,"Last
Wk Qt","Last 2
Wks Qt","Trans
In","Trans
Out",Order,"Gross
Profit",GP%,"Sell
thru","Days
Stock",Barcode
GHD Air Hairdryer,61.38,102.96,0,1,-4,0,0,0,0,6,-61.38,NA,0%,NA,NA
Brand Kevin.Murphy - Category Hair Products (Finish),,,,,,,,,,,,,,,
Product Name,"Unit
Cost","Unit
Price",Arriv,"Sold
Qt",Stock,"Last
Wk Qt","Last 2
Wks Qt","Trans
In","Trans
Out",Order,"Gross
Profit",GP%,"Sell
thru","Days
Stock",Barcode
Bedroom.hair,13.00,24.00,1,1,0,0,0,0,0,11,11.00,46%,100%,325,9339341005292
FREE.HOLD,13.54,25.00,0,2,0,0,0,0,0,8,22.92,46%,0%,387,9339341009900
KEVIN.MURPHY BODYBUILDER 95ML (MED),7.58,14.00,0,1,3,0,0,0,0,2,6.42,46%,0%,648,9339341007234
Page 1,,,,,,,,,,,,,,,
Touchable Spray,0.00,24.00,0,1,-2,0,1,0,0,0,24.00,100%,0%,269,9339341010302
Brand Kevin.Murphy - Category Hair Products (Prep),,,,,,,,,,,,,,,
Product Name,"Unit
Cost","Unit
Price",Arriv,"Sold
Qt",Stock,"Last
Wk Qt","Last 2
Wks Qt","Trans
In","Trans
Out",Order,"Gross
Profit",GP%,"Sell
thru","Days
Stock",Barcode
ANGEL.RINSE,12.46,23.00,0,1,-3,0,0,0,0,4,-12.46,NA,0%,519,9339341007517
BLONDE.ANGEL,11.38,21.00,3,1,-1,0,0,0,0,13,-11.38,NA,300%,290,9339341002284
BLONDE.ANGEL.WASH,11.92,22.00,3,1,-2,0,1,0,0,8,-11.92,NA,300%,269,9339341007555
LEAVE-IN.REPAIR,17.88,33.00,2,2,3,0,0,0,0,0,30.24,46%,100%,318,9339341004868
PLUMPING.WASH,13.00,24.00,0,3,-6,0,2,0,0,0,-39.00,NA,0%,269,9339341009788
mini Hydrate-Me.Wash,3.79,7.00,0,2,2,0,0,0,0,0,6.42,46%,0%,288,NA
Brand Kevin.Murphy - Category Hair Products (Wet to Dry),,,,,,,,,,,,,,,
Product Name,"Unit
Cost","Unit
Price",Arriv,"Sold
Qt",Stock,"Last
Wk Qt","Last 2
Wks Qt","Trans
In","Trans
Out",Order,"Gross
Profit",GP%,"Sell
thru","Days
Stock",Barcode
ANTI.GRAVITY,12.46,23.00,0,2,-4,1,1,0,0,9,-1.92,-8%,0%,556,9339341000259
SHIMMER.ME BLONDE,13.54,25.00,3,1,-3,0,0,0,0,11,3.96,23%,300%,325,9339341005001
UN.TANGLED,12.46,23.00,0,1,0,1,1,0,0,3,10.54,46%,0%,269,9339341004011
Brand Miscellaneous - Category Internal Marketing,,,,,,,,,,,,,,,
Product Name,"Unit
Cost","Unit
Price",Arriv,"Sold
Qt",Stock,"Last
Wk Qt","Last 2
Wks Qt","Trans
In","Trans
Out",Order,"Gross
Profit",GP%,"Sell
thru","Days
Stock",Barcode
Refferal Out,0.00,0.00,0,1,-1092,0,0,0,0,0,0.00,NA,0%,NA,16021976
Brand Olaplex - Category Hair Products (Prep),,,,,,,,,,,,,,,
Product Name,"Unit
Cost","Unit
Price",Arriv,"Sold
Qt",Stock,"Last
Wk Qt","Last 2
Wks Qt","Trans
In","Trans
Out",Order,"Gross
Profit",GP%,"Sell
thru","Days
Stock",Barcode
Olaplex hair perfector No3,17.25,27.95,0,1,-19,0,0,0,0,0,10.70,38%,0%,NA,896364002350
Page 2,,,,,,,,,,,,,,,
Brand Schwarzkopf - Category Hair Products (Finish),,,,,,,,,,,,,,,
