Product Performance,,,,,,,,,,,,,,,
Paul Kemp Hairdressing,,,,,,,,,,,,,,,
11/04/21 - 01/05/21 (Days: 21),,,,,,,,,,,,,,,
Category All,,,,,,,,,,,,,,,
Brand All,,,,,,,,,,,,,,,
Name All,,,,,,,,,,,,,,,
Include zero sales No,,,,,,,,,,,,,,,
Brand Luxury - Category Freelance Product Sale,,,,,,,,,,,,,,,
Product Name,"Unit
Cost","Unit
Price",Arriv,"Sold
Qt",Stock,"Last
Wk Qt","Last 2
Wks Qt","Trans
In","Trans
Out",Order,"Gross
Profit",GP%,"Sell
thru","Days
Stock",Barcode
Freelance Product Sale,0.00,0.00,0,3,-558,0,0,0,0,0,60.87,100%,0%,NA,NA
Brand KEVIN.MURPHY - Category Gift Pack,,,,,,,,,,,,,,,
Product Name,"Unit
Cost","Unit
Price",Arriv,"Sold
Qt",Stock,"Last
Wk Qt","Last 2
Wks Qt","Trans
In","Trans
Out",Order,"Gross
Profit",GP%,"Sell
thru","Days
Stock",Barcode
Xmas Pack Eternal.Youth,25.00,50.00,0,1,-3,0,1,0,0,0,25.00,50%,0%,NA,5060735883755
Xmas Pack Fresh.Blonde ,22.00,45.00,0,1,-3,1,1,0,0,0,9.50,30%,0%,NA,9339341020653
Brand Kevin.Murphy - Category Retail (Backwash t),,,,,,,,,,,,,,,
Product Name,"Unit
Cost","Unit
Price",Arriv,"Sold
Qt",Stock,"Last
Wk Qt","Last 2
Wks Qt","Trans
In","Trans
Out",Order,"Gross
Profit",GP%,"Sell
thru","Days
Stock",Barcode
BLONDE.ANGEL,11.38,21.00,0,1,-3,0,1,0,0,0,9.62,46%,0%,192,9339341002284
Cool.Angel,12.46,23.00,0,2,-15,2,2,0,0,9,21.08,46%,0%,228,9339341006213
HYDRATE-ME.RINSE,12.46,23.00,0,1,-5,0,0,0,0,3,3.64,23%,0%,564,9339341001263
HYDRATE-ME.WASH,11.92,22.00,0,2,0,0,1,0,0,2,13.56,36%,0%,564,9339341001249
PLUMPING.WASH,13.00,24.00,0,1,1,0,1,0,0,0,11.00,46%,0%,696,9339341009788
POWDER.PUFF,11.92,22.00,0,1,4,0,1,0,0,0,10.08,46%,0%,192,9339341001416
Page 1,,,,,,,,,,,,,,,
YOUNG.AGAIN OIL,17.88,33.00,0,1,-23,0,1,0,0,0,15.12,46%,0%,598,9339341001744
YOUNG.AGAIN.RINSE,14.08,26.00,0,1,-8,1,1,0,0,9,11.92,46%,0%,590,9339341003069
Brand Kevin.Murphy - Category Retail (Backwash),,,,,,,,,,,,,,,
Product Name,"Unit
Cost","Unit
Price",Arriv,"Sold
Qt",Stock,"Last
Wk Qt","Last 2
Wks Qt","Trans
In","Trans
Out",Order,"Gross
Profit",GP%,"Sell
thru","Days
Stock",Barcode
Bedroom.hair,13.00,24.00,0,1,0,1,1,0,0,3,11.00,46%,0%,192,9339341005292
FREE.HOLD,13.54,25.00,0,1,-4,0,0,0,0,2,-13.54,NA,0%,809,9339341009900
Brand Kevin.Murphy - Category Retail (Blow dry and styling),,,,,,,,,,,,,,,
Product Name,"Unit
Cost","Unit
Price",Arriv,"Sold
Qt",Stock,"Last
Wk Qt","Last 2
Wks Qt","Trans
In","Trans
Out",Order,"Gross
Profit",GP%,"Sell
thru","Days
Stock",Barcode
ANTI.GRAVITY.SPRAY,12.46,23.00,0,1,-6,0,1,0,0,3,10.54,46%,0%,192,9339341009962
Brand Miscellaneous - Category Internal Marketing,,,,,,,,,,,,,,,
Product Name,"Unit
Cost","Unit
Price",Arriv,"Sold
Qt",Stock,"Last
Wk Qt","Last 2
Wks Qt","Trans
In","Trans
Out",Order,"Gross
Profit",GP%,"Sell
thru","Days
Stock",Barcode
Refferal Out,0.00,0.00,0,32,-1035,8,21,0,0,0,0.00,NA,0%,NA,16021976
Brand Olaplex - Category Retail (Backwash t),,,,,,,,,,,,,,,
Product Name,"Unit
Cost","Unit
Price",Arriv,"Sold
Qt",Stock,"Last
Wk Qt","Last 2
Wks Qt","Trans
In","Trans
Out",Order,"Gross
Profit",GP%,"Sell
thru","Days
Stock",Barcode
Olaplex No4 Bond Maintainer Shampoo,0.00,22.00,0,5,-45,1,4,0,0,0,110.00,100%,0%,NA,896364002428
Olaplex No5 Bond Maintainer Conditioner,0.00,22.00,0,5,-44,1,3,0,0,0,110.00,100%,0%,NA,896364002435
Olaplex hair perfector No3,17.25,27.95,0,5,-74,1,2,0,0,0,50.55,37%,0%,NA,896364002350
Brand Schwarzkopf - Category Internal Marketing,,,,,,,,,,,,,,,
