Product Performance,,,,,,,,,,,,,,,
Jakata Salon,,,,,,,,,,,,,,,
01/11/19 - 11/12/20 (Days: 407),,,,,,,,,,,,,,,
Category All,,,,,,,,,,,,,,,
Brand All,,,,,,,,,,,,,,,
Name All,,,,,,,,,,,,,,,
Include zero sales No,,,,,,,,,,,,,,,
Brand Luxury - Category Freelance Product Sale,,,,,,,,,,,,,,,
Product Name,"Unit
Cost","Unit
Price",Arriv,"Sold
Qt",Stock,"Last
Wk Qt","Last 2
Wks Qt","Trans
In","Trans
Out",Order,"Gross
Profit",GP%,"Sell
thru","Days
Stock",Barcode
Freelance Product Sale,0.00,0.00,0,230,-502,8,17,0,0,0,"7,754.47",100%,0%,NA,NA
Brand Balmain - Category Balmain,,,,,,,,,,,,,,,
Product Name,"Unit
Cost","Unit
Price",Arriv,"Sold
Qt",Stock,"Last
Wk Qt","Last 2
Wks Qt","Trans
In","Trans
Out",Order,"Gross
Profit",GP%,"Sell
thru","Days
Stock",Barcode
Hair Extention Brush,0.00,17.25,0,1,-4,0,0,0,0,0,0.00,NA,0%,NA,8717056087153
Brand Beauty Works - Category beauty works,,,,,,,,,,,,,,,
Product Name,"Unit
Cost","Unit
Price",Arriv,"Sold
Qt",Stock,"Last
Wk Qt","Last 2
Wks Qt","Trans
In","Trans
Out",Order,"Gross
Profit",GP%,"Sell
thru","Days
Stock",Barcode
Shipping Fee (under £200),0.00,5.00,0,1,-6,0,0,0,0,0,5.00,100%,0%,NA,NA
Brand Diva - Category Hair Tools,,,,,,,,,,,,,,,
Product Name,"Unit
Cost","Unit
Price",Arriv,"Sold
Qt",Stock,"Last
Wk Qt","Last 2
Wks Qt","Trans
In","Trans
Out",Order,"Gross
Profit",GP%,"Sell
thru","Days
Stock",Barcode
Diva wand  25-13mm,19.99,41.55,0,1,1,0,0,0,0,2,-19.99,NA,0%,961,5060107475564
Page 1,,,,,,,,,,,,,,,
Brand GHD - Category Hair Tools,,,,,,,,,,,,,,,
Product Name,"Unit
Cost","Unit
Price",Arriv,"Sold
Qt",Stock,"Last
Wk Qt","Last 2
Wks Qt","Trans
In","Trans
Out",Order,"Gross
Profit",GP%,"Sell
thru","Days
Stock",Barcode
GHD Air Hairdryer,61.38,102.96,0,1,-4,0,0,0,0,6,-61.38,NA,0%,NA,NA
GHD Platinium,101.75,171.60,0,1,0,0,0,0,0,2,-101.75,NA,0%,NA,5060034521310
ghd Gold professional styler,85.72,139.00,0,2,2,0,0,0,0,0,106.56,38%,0%,NA,5060034521877
ghd air professional hairdryer,61.38,99.00,0,1,0,0,0,0,0,1,37.62,38%,0%,NA,5060478653660
ghd flight ,0.00,0.00,0,1,0,0,0,0,0,0,0.00,NA,0%,NA,5060569861882
ghd orginal professional styler,61.38,99.00,0,1,0,0,0,0,0,1,37.62,38%,0%,892,5060034523574
Brand KEVIN.MURPHY - Category Gift Pack,,,,,,,,,,,,,,,
Product Name,"Unit
Cost","Unit
Price",Arriv,"Sold
Qt",Stock,"Last
Wk Qt","Last 2
Wks Qt","Trans
In","Trans
Out",Order,"Gross
Profit",GP%,"Sell
thru","Days
Stock",Barcode
Xmas Pack Blushing.Bedroom,25.00,50.00,0,1,-1,1,1,0,0,0,25.00,50%,0%,NA,9339341020714
Xmas Pack Fresh.Blonde ,22.00,45.00,0,1,-1,1,1,0,0,0,-22.00,NA,0%,NA,9339341020653
Xmas Pack Make mine a mini Stimulate,10.00,20.00,0,1,-1,0,0,0,0,0,10.00,50%,0%,NA,NA
Xmas Pack Shine.Bright,22.00,45.00,0,3,-3,1,1,0,0,0,24.00,27%,0%,NA,9339341020530
Brand Kevin Murphy - Category Hair Products (Finish),,,,,,,,,,,,,,,
Product Name,"Unit
Cost","Unit
Price",Arriv,"Sold
Qt",Stock,"Last
Wk Qt","Last 2
Wks Qt","Trans
In","Trans
Out",Order,"Gross
Profit",GP%,"Sell
thru","Days
Stock",Barcode
Retouch.me,0.00,23.91,0,1,1,0,0,0,0,0,17.93,100%,0%,NA,9339341004981
Brand Kevin.Murphy - Category Hair Products (Finish),,,,,,,,,,,,,,,
