Product Performance,,,,,,,,,,,,,,,
All Branches,,,,,,,,,,,,,,,
01/10/20 - 31/12/20 (Days: 92),,,,,,,,,,,,,,,
Category All,,,,,,,,,,,,,,,
Brand All,,,,,,,,,,,,,,,
Name All,,,,,,,,,,,,,,,
Include zero sales No,,,,,,,,,,,,,,,
Brand Luxury - Category Freelance Product Sale,,,,,,,,,,,,,,,
Product Name,"Unit
Cost","Unit
Price",Arriv,"Sold
Qt",Stock,"Last
Wk Qt","Last 2
Wks Qt","Trans
In","Trans
Out",Order,"Gross
Profit",GP%,"Sell
thru","Days
Stock",Barcode
Freelance Product Sale,0.00,0.00,0,27,-1053,13,13,0,0,0,812.03,100%,0%,NA,NA
Brand GHD - Category Hair Tools,,,,,,,,,,,,,,,
Product Name,"Unit
Cost","Unit
Price",Arriv,"Sold
Qt",Stock,"Last
Wk Qt","Last 2
Wks Qt","Trans
In","Trans
Out",Order,"Gross
Profit",GP%,"Sell
thru","Days
Stock",Barcode
ghd max professional styler,83.25,135.00,0,1,0,0,0,0,0,0,51.75,38%,0%,888,NA
Brand KEVIN.MURPHY - Category Gift Pack,,,,,,,,,,,,,,,
Product Name,"Unit
Cost","Unit
Price",Arriv,"Sold
Qt",Stock,"Last
Wk Qt","Last 2
Wks Qt","Trans
In","Trans
Out",Order,"Gross
Profit",GP%,"Sell
thru","Days
Stock",Barcode
Xmas Pack Blushing.Bedroom,25.00,50.00,0,2,-2,1,1,0,0,0,50.00,50%,0%,NA,NA
Xmas Pack Eternal.Youth,25.00,50.00,0,1,-1,0,0,0,0,0,25.00,50%,0%,NA,NA
Xmas Pack Fresh.Blonde ,22.00,45.00,0,3,-3,1,1,0,0,0,24.00,27%,0%,NA,NA
Xmas Pack Make mine a mini Stimulate,10.00,20.00,0,1,-1,0,0,0,0,0,10.00,50%,0%,NA,NA
Xmas Pack Shine.Bright,22.00,45.00,0,5,-5,2,2,0,0,0,101.50,48%,0%,NA,NA
Xmas Pack Take.Away,25.00,50.00,0,1,-1,0,0,0,0,0,25.00,50%,0%,NA,NA
Page 1,,,,,,,,,,,,,,,
Brand Kevin.Murphy - Category Hair Products (Finish),,,,,,,,,,,,,,,
Product Name,"Unit
Cost","Unit
Price",Arriv,"Sold
Qt",Stock,"Last
Wk Qt","Last 2
Wks Qt","Trans
In","Trans
Out",Order,"Gross
Profit",GP%,"Sell
thru","Days
Stock",Barcode
Bedroom.hair,13.00,24.00,3,2,0,1,1,0,0,14,-2.00,-8%,150%,48,NA
ROUGH.RIDER,13.54,25.00,0,1,2,0,0,0,0,2,9.46,41%,0%,698,NA
Touchable Spray,0.00,24.00,0,2,-5,1,1,0,0,0,24.00,100%,0%,265,NA
Young.Again: Dry Conditioner,0.00,24.00,0,1,6,1,1,0,0,0,16.80,100%,0%,370,NA
Brand Kevin.Murphy - Category Hair Products (Prep),,,,,,,,,,,,,,,
Product Name,"Unit
Cost","Unit
Price",Arriv,"Sold
Qt",Stock,"Last
Wk Qt","Last 2
Wks Qt","Trans
In","Trans
Out",Order,"Gross
Profit",GP%,"Sell
thru","Days
Stock",Barcode
ANGEL.RINSE,12.46,23.00,0,2,-9,0,0,0,0,5,21.08,46%,0%,454,NA
ANGEL.WASH,11.92,22.00,0,2,-13,0,0,0,0,8,20.16,46%,0%,454,NA
BLONDE.ANGEL.WASH,11.92,22.00,1,3,-9,2,2,0,0,10,30.24,46%,33%,48,NA
Cool.Angel,12.46,23.00,0,1,-10,0,0,0,0,15,10.54,46%,0%,84,NA
Crystal.Angel,12.46,23.00,0,1,-3,1,1,0,0,3,10.54,46%,0%,420,NA
HYDRATE-ME.RINSE,12.46,23.00,0,1,-4,0,0,0,0,10,10.54,46%,0%,420,NA
KILLER.CURLS,16.79,31.00,3,1,2,0,0,0,0,0,14.21,46%,300%,48,NA
PLUMPING.WASH,13.00,24.00,0,3,-7,2,2,0,0,0,-15.00,-63%,0%,552,NA
REPAIR-ME.RINSE,14.08,26.00,0,5,3,0,0,0,0,0,7.60,10%,0%,461,NA
REPAIR-ME.WASH,13.00,24.00,0,6,-1,0,0,0,0,0,-6.00,-8%,0%,461,NA
Repair-Me.Wash,0.00,29.00,0,1,-1,0,0,0,0,0,17.40,100%,0%,NA,NA
SMOOTH.AGAIN.RINSE,12.46,23.00,0,4,5,0,0,0,0,0,-19.04,-62%,0%,446,NA
SMOOTH.AGAIN.WASH,11.92,22.00,0,2,2,0,0,0,0,1,-7.44,-45%,0%,698,NA
STIMULATE-ME.RINSE,10.83,20.00,0,3,2,0,0,0,0,1,27.51,46%,0%,84,NA
STIMULATE-ME.WASH,10.83,20.00,0,2,5,0,0,0,0,4,18.34,46%,0%,84,NA
YOUNG.AGAIN OIL,17.88,33.00,0,1,-21,1,1,0,0,2,15.12,46%,0%,454,NA
YOUNG.AGAIN.WASH,13.00,24.00,0,1,-2,0,0,0,0,6,11.00,46%,0%,398,NA
Page 2,,,,,,,,,,,,,,,
mini Young.Again.Masque,4.88,8.00,0,1,3,0,0,0,0,5,3.12,39%,0%,NA,NA
Brand Kevin.Murphy - Category Hair Products (Wet to Dry),,,,,,,,,,,,,,,
Product Name,"Unit
Cost","Unit
Price",Arriv,"Sold
Qt",Stock,"Last
Wk Qt","Last 2
Wks Qt","Trans
In","Trans
Out",Order,"Gross
Profit",GP%,"Sell
thru","Days
Stock",Barcode
ANTI.GRAVITY.SPRAY,12.46,23.00,1,4,-9,0,0,0,0,10,19.16,28%,25%,48,NA
BODY.MASS,17.88,33.00,0,1,1,0,0,0,0,3,15.12,46%,0%,84,NA
EVER.SMOOTH,0.00,30.00,0,5,-10,2,2,0,0,0,150.00,100%,0%,84,NA
FULL.AGAIN,12.46,23.00,0,1,3,0,0,0,0,0,10.54,46%,0%,524,NA
SHIMMER.ME BLONDE,13.54,25.00,0,1,-18,0,0,0,0,14,11.46,46%,0%,84,NA
SHIMMER.SHINE,13.54,25.00,0,1,-9,0,0,0,0,15,-13.54,NA,0%,398,NA
STAYING.ALIVE,12.16,23.00,0,1,2,0,0,0,0,11,10.84,47%,0%,949,NA
UN.TANGLED,12.46,23.00,0,1,-3,0,0,0,0,15,10.54,46%,0%,805,NA
Brand Miscellaneous - Category Internal Marketing,,,,,,,,,,,,,,,
Product Name,"Unit
Cost","Unit
Price",Arriv,"Sold
Qt",Stock,"Last
Wk Qt","Last 2
Wks Qt","Trans
In","Trans
Out",Order,"Gross
Profit",GP%,"Sell
thru","Days
Stock",Barcode
Refferal In,0.00,0.00,0,2,-31,0,0,0,0,0,0.00,NA,0%,NA,NA
Refferal Out,0.00,0.00,0,31,-2125,10,10,0,0,0,0.00,NA,0%,NA,NA
Brand Olaplex - Category Hair Products (Prep),,,,,,,,,,,,,,,
Product Name,"Unit
Cost","Unit
Price",Arriv,"Sold
Qt",Stock,"Last
Wk Qt","Last 2
Wks Qt","Trans
In","Trans
Out",Order,"Gross
Profit",GP%,"Sell
thru","Days
Stock",Barcode
Olaplex No4 Bond Maintainer Shampoo,0.00,22.00,0,1,-52,1,1,0,0,0,22.00,100%,0%,NA,NA
Olaplex No5 Bond Maintainer Conditioner,0.00,22.00,0,1,-46,0,0,0,0,0,22.00,100%,0%,NA,NA
Olaplex hair perfector No3,17.25,27.95,0,1,-88,0,0,0,0,0,10.70,38%,0%,NA,NA
Page 3,,,,,,,,,,,,,,,
Brand Schwarzkopf - Category Hair Products (Finish),,,,,,,,,,,,,,,
Product Name,"Unit
Cost","Unit
Price",Arriv,"Sold
Qt",Stock,"Last
Wk Qt","Last 2
Wks Qt","Trans
In","Trans
Out",Order,"Gross
Profit",GP%,"Sell
thru","Days
Stock",Barcode
Boho Rebel-Dark,6.60,13.15,0,1,7,0,0,0,0,0,-6.60,NA,0%,NA,NA
OSIS+ Soft Dust ,6.75,13.50,0,2,-4,2,2,0,0,8,13.50,50%,0%,369,NA
OSiS Session Label Super Dry Fix 300ml,6.21,12.90,0,2,2,0,0,0,0,12,-12.42,NA,0%,725,NA
Osis Dust It 10gr,6.75,13.50,0,1,0,0,0,0,0,10,6.75,50%,0%,385,NA
